Label,String
Talk_0110,"Talk_0110"
Talk_0123,"Talk_0123"
Talk_0111,"Talk_0111"
Talk_0124,"Talk_0124"
Talk_0112,"Talk_0112"
Talk_0125,"Talk_0125"
Near_0001,"Near_0001"
Talk_0126,"Talk_0126"
Near_0002,"Near_0002"
Talk_0101,"Talk_0101"
Near_0003,"Near_0003"
WakkaCharm,"WakkaCharm"
Talk_0102,"Talk_0102"
Near_0004,"Near_0004"
0001,"0001"
Talk_0130,"Talk_0130"
0002,"0002"
Talk_0131,"Talk_0131"
Talk_0132,"Talk_0132"
Talk_0120,"Talk_0120"
Talk_0133,"Talk_0133"
NakedPlayer,"NakedPlayer"
Talk_0121,"Talk_0121"
Talk_0134,"Talk_0134"
Talk_0122,"Talk_0122"
Talk_0135,"Talk_0135"
