Label,String
talk0001,"talk0001"
talk0027,"talk0027"
talk0002,"talk0002"
talk0028,"talk0028"
talk0003,"talk0003"
talk0029,"talk0029"
talk0016,"talk0016"
talk0004,"talk0004"
talk0017,"talk0017"
near0002,"near0002"
near0003,"near0003"
near0004,"near0004"
talk0007,"talk0007"
near0005,"near0005"
talk0008,"talk0008"
near0006,"near0006"
talk0009,"talk0009"
near0007,"near0007"
0000,"0000"
near0008,"near0008"
0001,"0001"
near0009,"near0009"
talk0021,"talk0021"
0002,"0002"
talk0022,"talk0022"
talk0023,"talk0023"
talk0010,"talk0010"
talk0024,"talk0024"
talk0011,"talk0011"
talk0025,"talk0025"
talk0000,"talk0000"
talk0026,"talk0026"
