Label,String
Talk_14,"Talk_14"
Talk_15,"Talk_15"
SavedLv2_00,"SavedLv2_00"
Talk_16,"Talk_16"
SavedLv2_01,"SavedLv2_01"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Atacked00,"Atacked00"
Talk_23,"Talk_23"
Atacked01,"Atacked01"
Talk_24,"Talk_24"
Talk_26,"Talk_26"
Guardian00,"Guardian00"
Near_00,"Near_00"
Failed00,"Failed00"
Talk_00,"Talk_00"
Talk_29,"Talk_29"
Near_01,"Near_01"
SavedLv3_00,"SavedLv3_00"
Failed01,"Failed01"
Thanks00,"Thanks00"
Talk_01,"Talk_01"
Near_02,"Near_02"
Talk_30,"Talk_30"
SavedLv1_00,"SavedLv1_00"
SavedLv3_01,"SavedLv3_01"
Talk_02,"Talk_02"
Talk_31,"Talk_31"
Near_03,"Near_03"
SavedLv1_01,"SavedLv1_01"
Talk_03,"Talk_03"
Near_04,"Near_04"
Talk_32,"Talk_32"
Talk_04,"Talk_04"
Talk_33,"Talk_33"
Talk_05,"Talk_05"
Talk_07,"Talk_07"
EnokidaSignboard,"EnokidaSignboard"
Talk_08,"Talk_08"
Talk_09,"Talk_09"
Talk_11,"Talk_11"
AssassinClothes,"AssassinClothes"
Talk_13,"Talk_13"
