Label,String
talk1129,"talk1129"
0017,"0017"
talk1130,"talk1130"
talk1131,"talk1131"
near1102,"near1102"
talk1132,"talk1132"
0019,"0019"
talk1116,"talk1116"
talk1133,"talk1133"
near1104,"near1104"
0003,"0003"
talk1134,"talk1134"
talk1118,"talk1118"
0004,"0004"
talk1135,"talk1135"
near1107,"near1107"
talk1136,"talk1136"
talk1137,"talk1137"
talk1138,"talk1138"
near1109,"near1109"
talk1139,"talk1139"
talk0006,"talk0006"
talk1122,"talk1122"
talk0007,"talk0007"
near1110,"near1110"
talk1123,"talk1123"
talk1140,"talk1140"
talk1106,"talk1106"
talk1124,"talk1124"
talk1141,"talk1141"
talk0009,"talk0009"
talk1142,"talk1142"
talk1125,"talk1125"
BlueStone,"BlueStone"
talk1127,"talk1127"
talk1128,"talk1128"
