Label,String
Comment_17,"Comment_17"
talk90,"talk90"
talk105,"talk105"
Comment_18,"Comment_18"
talk91,"talk91"
Comment_19,"Comment_19"
talk92,"talk92"
Comment_05,"Comment_05"
talk93,"talk93"
talk108,"talk108"
Comment_06,"Comment_06"
talk94,"talk94"
talk109,"talk109"
Comment_07,"Comment_07"
near83,"near83"
talk95,"talk95"
Comment_08,"Comment_08"
Comment_09,"Comment_09"
talk97,"talk97"
talk98,"talk98"
talk160,"talk160"
talk161,"talk161"
talk89,"talk89"
talk162,"talk162"
talk163,"talk163"
talk164,"talk164"
talk165,"talk165"
talk166,"talk166"
talk50,"talk50"
talk51,"talk51"
talk140,"talk140"
talk157,"talk157"
talk159,"talk159"
0000,"0000"
talk44,"talk44"
0001,"0001"
talk132,"talk132"
talk45,"talk45"
0002,"0002"
talk133,"talk133"
talk46,"talk46"
talk47,"talk47"
talk135,"talk135"
talk120,"talk120"
talk48,"talk48"
talk121,"talk121"
talk136,"talk136"
talk49,"talk49"
talk122,"talk122"
Comment_20,"Comment_20"
talk123,"talk123"
talk138,"talk138"
Comment_21,"Comment_21"
talk124,"talk124"
0008,"0008"
talk139,"talk139"
Comment_22,"Comment_22"
talk110,"talk110"
0009,"0009"
talk125,"talk125"
Comment_23,"Comment_23"
talk23,"talk23"
Comment_24,"Comment_24"
talk112,"talk112"
Comment_25,"Comment_25"
Comment_10,"Comment_10"
talk113,"talk113"
Comment_26,"Comment_26"
Comment_11,"Comment_11"
talk114,"talk114"
talk129,"talk129"
talk26,"talk26"
Comment_27,"Comment_27"
Comment_12,"Comment_12"
talk115,"talk115"
Comment_13,"Comment_13"
talk116,"talk116"
near01,"near01"
Comment_14,"Comment_14"
talk117,"talk117"
near02,"near02"
Comment_00,"Comment_00"
Comment_15,"Comment_15"
talk118,"talk118"
talk103,"talk103"
Comment_01,"Comment_01"
Comment_16,"Comment_16"
talk104,"talk104"
talk119,"talk119"
