Label,String
Talk_0048,"Talk_0048"
Talk_0054,"Talk_0054"
Talk_0108,"Talk_0108"
Talk_0049,"Talk_0049"
Talk_0109,"Talk_0109"
Talk_0055,"Talk_0055"
Talk_0056,"Talk_0056"
Talk_0062,"Talk_0062"
Talk_0070,"Talk_0070"
Talk_0064,"Talk_0064"
Talk_0071,"Talk_0071"
Talk_0065,"Talk_0065"
Talk_0066,"Talk_0066"
Talk_0072,"Talk_0072"
Talk_0067,"Talk_0067"
Talk_0073,"Talk_0073"
Talk_0068,"Talk_0068"
Talk_0074,"Talk_0074"
Talk_0080,"Talk_0080"
Talk_0069,"Talk_0069"
Talk_0075,"Talk_0075"
Talk_0076,"Talk_0076"
Talk_0083,"Talk_0083"
Talk_0077,"Talk_0077"
Talk_0084,"Talk_0084"
Talk_0078,"Talk_0078"
Talk_0091,"Talk_0091"
Talk_0085,"Talk_0085"
Talk_0079,"Talk_0079"
Talk_0087,"Talk_0087"
Talk_0088,"Talk_0088"
Talk_0089,"Talk_0089"
Talk_0095,"Talk_0095"
Talk_0096,"Talk_0096"
Talk_0097,"Talk_0097"
Talk_0098,"Talk_0098"
Near_0001,"Near_0001"
Near_0002,"Near_0002"
Talk_0001,"Talk_0001"
Near_0003,"Near_0003"
Talk_0002,"Talk_0002"
Talk_0003,"Talk_0003"
0006,"0006"
Talk_0004,"Talk_0004"
Talk_0010,"Talk_0010"
Near_0006,"Near_0006"
0007,"0007"
Talk_0005,"Talk_0005"
Talk_0011,"Talk_0011"
Talk_0012,"Talk_0012"
0008,"0008"
Talk_0006,"Talk_0006"
0009,"0009"
Talk_0007,"Talk_0007"
Talk_0013,"Talk_0013"
Talk_0008,"Talk_0008"
Talk_0020,"Talk_0020"
Talk_0009,"Talk_0009"
Talk_0022,"Talk_0022"
Talk_0017,"Talk_0017"
Talk_0023,"Talk_0023"
Talk_1001,"Talk_1001"
Talk_0018,"Talk_0018"
Talk_0024,"Talk_0024"
Talk_0030,"Talk_0030"
Talk_0025,"Talk_0025"
Talk_0031,"Talk_0031"
Talk_0026,"Talk_0026"
Talk_0032,"Talk_0032"
Talk_0027,"Talk_0027"
Talk_0033,"Talk_0033"
Talk_0040,"Talk_0040"
Talk_0100,"Talk_0100"
Talk_0034,"Talk_0034"
Talk_0041,"Talk_0041"
Talk_0101,"Talk_0101"
Talk_0029,"Talk_0029"
Talk_0035,"Talk_0035"
Talk_0042,"Talk_0042"
Talk_0036,"Talk_0036"
Talk_0102,"Talk_0102"
Talk_0043,"Talk_0043"
Talk_0037,"Talk_0037"
Talk_0103,"Talk_0103"
Talk_0044,"Talk_0044"
Talk_0050,"Talk_0050"
Talk_0104,"Talk_0104"
Talk_0045,"Talk_0045"
Talk_0052,"Talk_0052"
Talk_0046,"Talk_0046"
Talk_0106,"Talk_0106"
Talk_0053,"Talk_0053"
Talk_0107,"Talk_0107"
Talk_0047,"Talk_0047"
