Label,String
talk1039,"talk1039"
talk1040,"talk1040"
talk1041,"talk1041"
talk1090,"talk1090"
talk1042,"talk1042"
near1001,"near1001"
talk1043,"talk1043"
near1002,"near1002"
talk1044,"talk1044"
near1003,"near1003"
talk1045,"talk1045"
near1004,"near1004"
talk1046,"talk1046"
talk1095,"talk1095"
talk1047,"talk1047"
near1006,"near1006"
talk1048,"talk1048"
talk1002,"talk1002"
talk1003,"talk1003"
talk1004,"talk1004"
0011,"0011"
talk1052,"talk1052"
talk1005,"talk1005"
0012,"0012"
talk1054,"talk1054"
0013,"0013"
talk1055,"talk1055"
0014,"0014"
talk1054_00,"talk1054_00"
talk1008,"talk1008"
0015,"0015"
talk1056,"talk1056"
talk1054_01,"talk1054_01"
talk1009,"talk1009"
talk1010,"talk1010"
0016,"0016"
talk1057,"talk1057"
talk1011,"talk1011"
talk1058,"talk1058"
talk1012,"talk1012"
talk1059,"talk1059"
0020,"0020"
talk1013,"talk1013"
talk1002_01,"talk1002_01"
talk1014,"talk1014"
0021,"0021"
talk1002_02,"talk1002_02"
talk1015,"talk1015"
talk1016,"talk1016"
talk1065,"talk1065"
talk1017,"talk1017"
talk1018,"talk1018"
talk1019,"talk1019"
talk1020,"talk1020"
talk1068,"talk1068"
talk1021,"talk1021"
talk1070,"talk1070"
talk1069,"talk1069"
talk1022,"talk1022"
talk1023,"talk1023"
talk1071,"talk1071"
talk1025_01,"talk1025_01"
talk1072,"talk1072"
talk1024,"talk1024"
talk1073,"talk1073"
talk1025,"talk1025"
talk1026,"talk1026"
talk1074,"talk1074"
talk1027,"talk1027"
talk1075,"talk1075"
talk1028,"talk1028"
talk1076,"talk1076"
talk1029,"talk1029"
talk1030,"talk1030"
talk1077,"talk1077"
talk1078,"talk1078"
talk1079,"talk1079"
talk1032,"talk1032"
talk1033,"talk1033"
talk1034,"talk1034"
talk1035,"talk1035"
talk1036,"talk1036"
talk1037,"talk1037"
talk1038,"talk1038"
