Label,String
T_HeaderOwnedHorse_00,"T_HeaderOwnedHorse_00"
Pa_AbilityButton_02-T_Max_00,"Pa_AbilityButton_02-T_Max_00"
Pa_Material_00-T_Slash_00,"Pa_Material_00-T_Slash_00"
T_HeaderState_00,"T_HeaderState_00"
Pa_AbilityButton_00-T_Ability_00,"Pa_AbilityButton_00-T_Ability_00"
Pa_GuideB_00-T_Guide_00,"Pa_GuideB_00-T_Guide_00"
Pa_Info_00-Pa_TameGauge_00-T_ParamName_00,"Pa_Info_00-Pa_TameGauge_00-T_ParamName_00"
Pa_AbilityButton_01-T_Ability_00,"Pa_AbilityButton_01-T_Ability_00"
0000,"0000"
0001,"0001"
Pa_GuideA_00-T_Guide_00,"Pa_GuideA_00-T_Guide_00"
Pa_AbilityButton_03-T_Max_00,"Pa_AbilityButton_03-T_Max_00"
0002,"0002"
5000,"5000"
T_Text_00,"T_Text_00"
2000,"2000"
T_Text_01,"T_Text_01"
Pa_Info_00-Pa_TameGauge_00-T_ParamMax_00,"Pa_Info_00-Pa_TameGauge_00-T_ParamMax_00"
T_HeaderAbility_00,"T_HeaderAbility_00"
Pa_AbilityButton_02-T_Ability_00,"Pa_AbilityButton_02-T_Ability_00"
Pa_Info_00-Pa_Param_01-T_ParamName_00,"Pa_Info_00-Pa_Param_01-T_ParamName_00"
4000,"4000"
Pa_AbilityButton_01-T_Max_00,"Pa_AbilityButton_01-T_Max_00"
Pa_Material_03-T_Slash_00,"Pa_Material_03-T_Slash_00"
1000,"1000"
T_HeaderDeadHorse_00,"T_HeaderDeadHorse_00"
Pa_Info_00-Pa_Param_03-T_ParamName_00,"Pa_Info_00-Pa_Param_03-T_ParamName_00"
Pa_GuideB_00-T_Icon_00,"Pa_GuideB_00-T_Icon_00"
Pa_AbilityButton_00-T_Max_00,"Pa_AbilityButton_00-T_Max_00"
Pa_Info_00-Pa_Param_00-T_ParamName_00,"Pa_Info_00-Pa_Param_00-T_ParamName_00"
1002,"1002"
Pa_GuideB_00-T_Icon_01,"Pa_GuideB_00-T_Icon_01"
Pa_Material_01-T_Slash_00,"Pa_Material_01-T_Slash_00"
T_Max_00,"T_Max_00"
Pa_AbilityButton_03-T_Ability_00,"Pa_AbilityButton_03-T_Ability_00"
3000,"3000"
3001,"3001"
Pa_Info_00-Pa_Param_02-T_ParamName_00,"Pa_Info_00-Pa_Param_02-T_ParamName_00"
Pa_Info_00-T_ParamTitle_00,"Pa_Info_00-T_ParamTitle_00"
T_HeadeSlash_00,"T_HeadeSlash_00"
Pa_Material_02-T_Slash_00,"Pa_Material_02-T_Slash_00"
