Label,String
Tactics_05_Name,"Tactics_05_Name"
ZoraChallenge_01_Name,"ZoraChallenge_01_Name"
DeathMountain_01_Text,"DeathMountain_01_Text"
Knowledge_06_Text,"Knowledge_06_Text"
Weather_00_Text,"Weather_00_Text"
Horse_12_Name,"Horse_12_Name"
Knowledge_00_Name,"Knowledge_00_Name"
Material_15_Text,"Material_15_Text"
MinusField_07_Text,"MinusField_07_Text"
Sage_10_Text,"Sage_10_Text"
Tactics_25_Text,"Tactics_25_Text"
Tactics_33_Name,"Tactics_33_Name"
ZonauMagic_06_Text,"ZonauMagic_06_Text"
EnemyBokoblin_02_Name,"EnemyBokoblin_02_Name"
Map_01_Name,"Map_01_Name"
Others_15_Text,"Others_15_Text"
Time_00_Name,"Time_00_Name"
ZonauMagic_00_Name,"ZonauMagic_00_Name"
Bonfire_01_Name,"Bonfire_01_Name"
GoronChallenge_03_Name,"GoronChallenge_03_Name"
Player_07_Text,"Player_07_Text"
Player_15_Name,"Player_15_Name"
Sage_08_Text,"Sage_08_Text"
ZonauGear_16_Text,"ZonauGear_16_Text"
GerudoChallenge_08_Text,"GerudoChallenge_08_Text"
GerudoChallenge_16_Name,"GerudoChallenge_16_Name"
Material_00_Text,"Material_00_Text"
Notify_01_Text,"Notify_01_Text"
Player_01_Name,"Player_01_Name"
Sage_02_Name,"Sage_02_Name"
EnemyMolduga_00_Text,"EnemyMolduga_00_Text"
GerudoChallenge_02_Name,"GerudoChallenge_02_Name"
Gimmick_04_Text,"Gimmick_04_Text"
Horse_09_Name,"Horse_09_Name"
Others_07_Name,"Others_07_Name"
Temperature_00_Name,"Temperature_00_Name"
Knowledge_04_Text,"Knowledge_04_Text"
Material_06_Name,"Material_06_Name"
Player_21_Text,"Player_21_Text"
ZonauMagic_26_Name,"ZonauMagic_26_Name"
EnemyGibdo_04_Name,"EnemyGibdo_04_Name"
Fall_00_Text,"Fall_00_Text"
Tactics_02_Name,"Tactics_02_Name"
Tactics_31_Name,"Tactics_31_Name"
Cave_04_Text,"Cave_04_Text"
Others_13_Text,"Others_13_Text"
Player_27_Name,"Player_27_Name"
