Label,String
Talk46,"Talk46"
Talk47,"Talk47"
Near11,"Near11"
Talk201,"Talk201"
Talk203,"Talk203"
Talk204,"Talk204"
0001,"0001"
Talk205,"Talk205"
0002,"0002"
Talk206,"Talk206"
0003,"0003"
Talk207,"Talk207"
Talk11,"Talk11"
0004,"0004"
Talk208,"Talk208"
Talk12,"Talk12"
0005,"0005"
Talk101,"Talk101"
Talk209,"Talk209"
Talk13,"Talk13"
0006,"0006"
Talk102,"Talk102"
Talk14,"Talk14"
0007,"0007"
Talk31,"Talk31"
Talk103,"Talk103"
Talk15,"Talk15"
0008,"0008"
Talk32,"Talk32"
Talk104,"Talk104"
0009,"0009"
Talk16,"Talk16"
Talk33,"Talk33"
Talk105,"Talk105"
Talk17,"Talk17"
Talk34,"Talk34"
Talk106,"Talk106"
Talk35,"Talk35"
Talk107,"Talk107"
Talk36,"Talk36"
Talk108,"Talk108"
Talk37,"Talk37"
Talk109,"Talk109"
Near01,"Near01"
Talk38,"Talk38"
Talk39,"Talk39"
Near21,"Near21"
Talk210,"Talk210"
Talk208_01,"Talk208_01"
Talk211,"Talk211"
Near41,"Near41"
Talk212,"Talk212"
0010,"0010"
Talk01,"Talk01"
0011,"0011"
Talk02,"Talk02"
0012,"0012"
Talk03,"Talk03"
0013,"0013"
Talk04,"Talk04"
Talk21,"Talk21"
Talk110,"Talk110"
0014,"0014"
Talk05,"Talk05"
0015,"0015"
Talk22,"Talk22"
Talk111,"Talk111"
Talk06,"Talk06"
Talk23,"Talk23"
Talk07,"Talk07"
Talk24,"Talk24"
Talk41,"Talk41"
Talk08,"Talk08"
Talk42,"Talk42"
Talk106_01,"Talk106_01"
Talk43,"Talk43"
Talk44,"Talk44"
Talk45,"Talk45"
