Label,String
Dm_ED_0007_Text_006_b,"Dm_ED_0007_Text_006_b"
Dm_ED_0007_Text_015_b,"Dm_ED_0007_Text_015_b"
Dm_ED_0007_Text_032_fb,"Dm_ED_0007_Text_032_fb"
Dm_ED_0007_Text_041_b,"Dm_ED_0007_Text_041_b"
Dm_ED_0007_Text_032_fc,"Dm_ED_0007_Text_032_fc"
Dm_ED_0007_Text_046_b,"Dm_ED_0007_Text_046_b"
Dm_ED_0007_Text_032_bab,"Dm_ED_0007_Text_032_bab"
Dm_ED_0007_Text_046_c,"Dm_ED_0007_Text_046_c"
Dm_ED_0007_Text_023_b,"Dm_ED_0007_Text_023_b"
Dm_ED_0007_Text_032_b,"Dm_ED_0007_Text_032_b"
Dm_ED_0007_Text_037_b,"Dm_ED_0007_Text_037_b"
Dm_ED_0007_Text_028_d,"Dm_ED_0007_Text_028_d"
Dm_ED_0007_Text_059_c,"Dm_ED_0007_Text_059_c"
Dm_ED_0007_Text_005_b,"Dm_ED_0007_Text_005_b"
Dm_ED_0007_Text_014_b,"Dm_ED_0007_Text_014_b"
Dm_ED_0007_Text_028_e,"Dm_ED_0007_Text_028_e"
Dm_ED_0007_Text_040_b,"Dm_ED_0007_Text_040_b"
Dm_ED_0007_Text_019_b,"Dm_ED_0007_Text_019_b"
Dm_ED_0007_Text_028_f,"Dm_ED_0007_Text_028_f"
Dm_ED_0007_Text_045_b,"Dm_ED_0007_Text_045_b"
Dm_ED_0007_Text_028_g,"Dm_ED_0007_Text_028_g"
Dm_ED_0007_Text_028_db,"Dm_ED_0007_Text_028_db"
Dm_ED_0007_Text_031_b,"Dm_ED_0007_Text_031_b"
Dm_ED_0007_Text_036_b,"Dm_ED_0007_Text_036_b"
Dm_ED_0007_Text_027_c,"Dm_ED_0007_Text_027_c"
Dm_ED_0007_Text_036_c,"Dm_ED_0007_Text_036_c"
Dm_ED_0007_Text_041_aab,"Dm_ED_0007_Text_041_aab"
Dm_ED_0007_Text_062_c,"Dm_ED_0007_Text_062_c"
Dm_ED_0007_Text_027_d,"Dm_ED_0007_Text_027_d"
Dm_ED_0007_Text_058_c,"Dm_ED_0007_Text_058_c"
Dm_ED_0007_Text_004_b,"Dm_ED_0007_Text_004_b"
Dm_ED_0007_Text_027_e,"Dm_ED_0007_Text_027_e"
Dm_ED_0007_Text_032_cb,"Dm_ED_0007_Text_032_cb"
Dm_ED_0007_Text_009_b,"Dm_ED_0007_Text_009_b"
Dm_ED_0007_Text_044_b,"Dm_ED_0007_Text_044_b"
Dm_ED_0007_Text_018_c,"Dm_ED_0007_Text_018_c"
Dm_ED_0007_Text_032_eb,"Dm_ED_0007_Text_032_eb"
Dm_ED_0007_Text_030_b,"Dm_ED_0007_Text_030_b"
Dm_ED_0007_Text_000_ab,"Dm_ED_0007_Text_000_ab"
Dm_ED_0007_Text_026_c,"Dm_ED_0007_Text_026_c"
Dm_ED_0007_Text_035_c,"Dm_ED_0007_Text_035_c"
Dm_ED_0007_Text_040_bb,"Dm_ED_0007_Text_040_bb"
Dm_ED_0007_Text_061_c,"Dm_ED_0007_Text_061_c"
Dm_ED_0007_Text_026_d,"Dm_ED_0007_Text_026_d"
Dm_ED_0007_Text_026_e,"Dm_ED_0007_Text_026_e"
Dm_ED_0007_Text_003_c,"Dm_ED_0007_Text_003_c"
Dm_ED_0007_Text_008_b,"Dm_ED_0007_Text_008_b"
Dm_ED_0007_Text_017_b,"Dm_ED_0007_Text_017_b"
Dm_ED_0007_Text_056_cb,"Dm_ED_0007_Text_056_cb"
Dm_ED_0007_Text_003_d,"Dm_ED_0007_Text_003_d"
Dm_ED_0007_Text_020_b,"Dm_ED_0007_Text_020_b"
Dm_ED_0007_Text_041_ab,"Dm_ED_0007_Text_041_ab"
Dm_ED_0007_Text_025_c,"Dm_ED_0007_Text_025_c"
Dm_ED_0007_Text_034_c,"Dm_ED_0007_Text_034_c"
Dm_ED_0007_Text_039_b,"Dm_ED_0007_Text_039_b"
Dm_ED_0007_Text_060_c,"Dm_ED_0007_Text_060_c"
Dm_ED_0007_Text_025_d,"Dm_ED_0007_Text_025_d"
Dm_ED_0007_Text_025_e,"Dm_ED_0007_Text_025_e"
Dm_ED_0007_Text_007_b,"Dm_ED_0007_Text_007_b"
Dm_ED_0007_Text_016_b,"Dm_ED_0007_Text_016_b"
Dm_ED_0007_Text_024_cb,"Dm_ED_0007_Text_024_cb"
Dm_ED_0007_Text_028_eb,"Dm_ED_0007_Text_028_eb"
Dm_ED_0007_Text_042_b,"Dm_ED_0007_Text_042_b"
Dm_ED_0007_Text_047_b,"Dm_ED_0007_Text_047_b"
Dm_ED_0007_Text_036_bb,"Dm_ED_0007_Text_036_bb"
Dm_ED_0007_Text_024_b,"Dm_ED_0007_Text_024_b"
Dm_ED_0007_Text_024_c,"Dm_ED_0007_Text_024_c"
Dm_ED_0007_Text_029_b,"Dm_ED_0007_Text_029_b"
Dm_ED_0007_Text_032_db,"Dm_ED_0007_Text_032_db"
Dm_ED_0007_Text_033_c,"Dm_ED_0007_Text_033_c"
Dm_ED_0007_Text_038_b,"Dm_ED_0007_Text_038_b"
Dm_ED_0007_Text_064_b,"Dm_ED_0007_Text_064_b"
Dm_ED_0007_Text_024_d,"Dm_ED_0007_Text_024_d"
Dm_ED_0007_Text_048_ab,"Dm_ED_0007_Text_048_ab"
Dm_ED_0007_Text_024_e,"Dm_ED_0007_Text_024_e"
