Label,String
Dm_GO_0021_Text_016_b,"Dm_GO_0021_Text_016_b"
Dm_GO_0021_Text_017_b,"Dm_GO_0021_Text_017_b"
Dm_GO_0021_Text_018_b,"Dm_GO_0021_Text_018_b"
Dm_GO_0021_Text_019_b,"Dm_GO_0021_Text_019_b"
Dm_GO_0021_Text_020_b,"Dm_GO_0021_Text_020_b"
Dm_GO_0021_Text_021_b,"Dm_GO_0021_Text_021_b"
Dm_GO_0021_Text_022_b,"Dm_GO_0021_Text_022_b"
Dm_GO_0021_Text_023_b,"Dm_GO_0021_Text_023_b"
Dm_GO_0021_Text_026_b,"Dm_GO_0021_Text_026_b"
Dm_GO_0021_Text_027_b,"Dm_GO_0021_Text_027_b"
Dm_GO_0021_Text_035_b,"Dm_GO_0021_Text_035_b"
Dm_GO_0021_Text_037_b,"Dm_GO_0021_Text_037_b"
Dm_GO_0021_Text_038_b,"Dm_GO_0021_Text_038_b"
Dm_GO_0021_Text_020_c,"Dm_GO_0021_Text_020_c"
Dm_GO_0021_Text_025_c,"Dm_GO_0021_Text_025_c"
Dm_GO_0021_Text_029_c,"Dm_GO_0021_Text_029_c"
Dm_GO_0021_Text_030_c,"Dm_GO_0021_Text_030_c"
Dm_GO_0021_Text_032_c,"Dm_GO_0021_Text_032_c"
Dm_GO_0021_Text_033_c,"Dm_GO_0021_Text_033_c"
Dm_GO_0021_Text_034_c,"Dm_GO_0021_Text_034_c"
Dm_GO_0021_Text_036_c,"Dm_GO_0021_Text_036_c"
Dm_GO_0021_Text_020_d,"Dm_GO_0021_Text_020_d"
Dm_GO_0021_Text_030_d,"Dm_GO_0021_Text_030_d"
Dm_GO_0021_Text_030_e,"Dm_GO_0021_Text_030_e"
