Label,String
Dm_OT_0015_Text_006_b,"Dm_OT_0015_Text_006_b"
Dm_OT_0015_Text_012_b,"Dm_OT_0015_Text_012_b"
Dm_OT_0015_Text_004_b,"Dm_OT_0015_Text_004_b"
Dm_OT_0015_Text_010_b,"Dm_OT_0015_Text_010_b"
Dm_OT_0015_Text_002_b,"Dm_OT_0015_Text_002_b"
Dm_OT_0015_Text_004_c,"Dm_OT_0015_Text_004_c"
Dm_OT_0015_Text_000_b,"Dm_OT_0015_Text_000_b"
Dm_OT_0015_Text_004_d,"Dm_OT_0015_Text_004_d"
Dm_OT_0015_Text_009_b,"Dm_OT_0015_Text_009_b"
Dm_OT_0015_Text_007_b,"Dm_OT_0015_Text_007_b"
Dm_OT_0015_Text_005_b,"Dm_OT_0015_Text_005_b"
Dm_OT_0015_Text_011_b,"Dm_OT_0015_Text_011_b"
Dm_OT_0015_Text_003_b,"Dm_OT_0015_Text_003_b"
Dm_OT_0015_Text_001_b,"Dm_OT_0015_Text_001_b"
Dm_OT_0015_Text_008_b,"Dm_OT_0015_Text_008_b"
