Label,String
Talk_43,"Talk_43"
Talk_15,"Talk_15"
Talk_45,"Talk_45"
near_00,"near_00"
Talk_17,"Talk_17"
Talk_46,"Talk_46"
near_01,"near_01"
Talk_18,"Talk_18"
Talk_47,"Talk_47"
Talk_19,"Talk_19"
near_02,"near_02"
Talk_48,"Talk_48"
Talk_20,"Talk_20"
near_03,"near_03"
Talk_49,"Talk_49"
Talk_21,"Talk_21"
near_04,"near_04"
Talk_50,"Talk_50"
Talk_22,"Talk_22"
Talk_51,"Talk_51"
near_05,"near_05"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_00,"Talk_00"
0000,"0000"
0001,"0001"
Talk_30,"Talk_30"
0002,"0002"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_35,"Talk_35"
Talk_06,"Talk_06"
Talk_08,"Talk_08"
Talk_09,"Talk_09"
Talk_10,"Talk_10"
Talk_39,"Talk_39"
Talk_40,"Talk_40"
Talk_11,"Talk_11"
Talk_12,"Talk_12"
Talk_41,"Talk_41"
Talk_13,"Talk_13"
Talk_42,"Talk_42"
