Label,String
near1013,"near1013"
talk0011,"talk0011"
near1014,"near1014"
talk0012,"talk0012"
talk0013,"talk0013"
talk0030,"talk0030"
talk0031,"talk0031"
talk0032,"talk0032"
talk0016,"talk0016"
talk0050,"talk0050"
talk0017,"talk0017"
talk0051,"talk0051"
talk0034,"talk0034"
talk0018,"talk0018"
talk0052,"talk0052"
talk0035,"talk0035"
talk0053,"talk0053"
talk0036,"talk0036"
talk0019,"talk0019"
0020,"0020"
talk0054,"talk0054"
talk0037,"talk0037"
talk0038,"talk0038"
0021,"0021"
talk0055,"talk0055"
talk0039,"talk0039"
0022,"0022"
talk0056,"talk0056"
0023,"0023"
0024,"0024"
0025,"0025"
0026,"0026"
near1000,"near1000"
0027,"0027"
near1001,"near1001"
0028,"0028"
near1002,"near1002"
0029,"0029"
near1003,"near1003"
talk0001,"talk0001"
talk0002,"talk0002"
near1005,"near1005"
talk0020,"talk0020"
talk0003,"talk0003"
near1006,"near1006"
talk0021,"talk0021"
near1007,"near1007"
talk0022,"talk0022"
near1008,"near1008"
talk0023,"talk0023"
talk0040,"talk0040"
near1009,"near1009"
talk0024,"talk0024"
talk0041,"talk0041"
talk0025,"talk0025"
talk0042,"talk0042"
near0000,"near0000"
talk0026,"talk0026"
talk0043,"talk0043"
talk0027,"talk0027"
talk0044,"talk0044"
talk0028,"talk0028"
talk0045,"talk0045"
talk0029,"talk0029"
talk0046,"talk0046"
talk0047,"talk0047"
talk0048,"talk0048"
talk0049,"talk0049"
near0007,"near0007"
near0008,"near0008"
0017,"0017"
near0009,"near0009"
0018,"0018"
0019,"0019"
near1010,"near1010"
near1011,"near1011"
near1012,"near1012"
