Label,String
Talk_01_14,"Talk_01_14"
Talk_01_31,"Talk_01_31"
Talk_01_15,"Talk_01_15"
Talk_01_33,"Talk_01_33"
Talk_01_17,"Talk_01_17"
0001,"0001"
Talk_00_01,"Talk_00_01"
Talk_01_18,"Talk_01_18"
0002,"0002"
Talk_01_01,"Talk_01_01"
Talk_01_19,"Talk_01_19"
Talk_01_02,"Talk_01_02"
Talk_00_04,"Talk_00_04"
Talk_01_03,"Talk_01_03"
Talk_01_20,"Talk_01_20"
Talk_00_05,"Talk_00_05"
Talk_01_21,"Talk_01_21"
Talk_00_06,"Talk_00_06"
Talk_01_05,"Talk_01_05"
Talk_00_07,"Talk_00_07"
Talk_01_06,"Talk_01_06"
Talk_01_23,"Talk_01_23"
Talk_00_08,"Talk_00_08"
Talk_01_07,"Talk_01_07"
Talk_01_24,"Talk_01_24"
Talk_01_08,"Talk_01_08"
Talk_01_25,"Talk_01_25"
Talk_01_09,"Talk_01_09"
Talk_01_26,"Talk_01_26"
Talk_01_27,"Talk_01_27"
Talk_01_28,"Talk_01_28"
Talk_01_10,"Talk_01_10"
Talk_01_29,"Talk_01_29"
Talk_01_13,"Talk_01_13"
Talk_01_30,"Talk_01_30"
