Label,String
Talk21,"Talk21"
Talk22,"Talk22"
Talk10,"Talk10"
5500,"5500"
Talk23,"Talk23"
Talk11,"Talk11"
5501,"5501"
Talk12,"Talk12"
Com_Talk_53,"Com_Talk_53"
Talk13,"Talk13"
Talk01,"Talk01"
Talk14,"Talk14"
Com_Talk_55,"Com_Talk_55"
Talk02,"Talk02"
Com_Talk_50a,"Com_Talk_50a"
Near01,"Near01"
Com_Talk_50b,"Com_Talk_50b"
Near02,"Near02"
Com_Talk_50c,"Com_Talk_50c"
Talk1001,"Talk1001"
Talk1002,"Talk1002"
Near03,"Near03"
Near04,"Near04"
NakedPlayer,"NakedPlayer"
Talk22_01,"Talk22_01"
Talk20,"Talk20"
