Label,String
talk0013,"talk0013"
near0007,"near0007"
near0008,"near0008"
talk0014,"talk0014"
talk0015,"talk0015"
0000,"0000"
0001,"0001"
Talk_09,"Talk_09"
0002,"0002"
talk0001,"talk0001"
0003,"0003"
BlackZelda_01,"BlackZelda_01"
talk0002,"talk0002"
BlackZelda_03,"BlackZelda_03"
talk0004,"talk0004"
WaterPumpWater_00,"WaterPumpWater_00"
talk0005,"talk0005"
BlackZelda_05,"BlackZelda_05"
WaterPumpWater_01,"WaterPumpWater_01"
talk0006,"talk0006"
talk0007,"talk0007"
near0001,"near0001"
talk0008,"talk0008"
near0002,"near0002"
talk0009,"talk0009"
Talk_00,"Talk_00"
Talk_01,"Talk_01"
talk0010,"talk0010"
near0004,"near0004"
Talk_02,"Talk_02"
talk0011,"talk0011"
Talk_03,"Talk_03"
near0006,"near0006"
talk0012,"talk0012"
