Label,String
talk_Day_00_2,"talk_Day_00_2"
talk_Day_01_2,"talk_Day_01_2"
Greeting_Morning,"Greeting_Morning"
talk_Day_Rain_01,"talk_Day_Rain_01"
Greeting_Evening,"Greeting_Evening"
talk_Evening_Rain_00,"talk_Evening_Rain_00"
talk_Day_00,"talk_Day_00"
talk_Evening_Rain_01,"talk_Evening_Rain_01"
talk_Midnight,"talk_Midnight"
Greeting_Evening_Rain_00,"Greeting_Evening_Rain_00"
talk_Day_01,"talk_Day_01"
Greeting_Noon,"Greeting_Noon"
Balloon_Evening_Rain,"Balloon_Evening_Rain"
Greeting_Midnight,"Greeting_Midnight"
Greeting_Day_Rain,"Greeting_Day_Rain"
talk_Day_Rain_ItemGet,"talk_Day_Rain_ItemGet"
Balloon_Day_Rain,"Balloon_Day_Rain"
Balloon_Midnight,"Balloon_Midnight"
talk_Day_Rain_00_00,"talk_Day_Rain_00_00"
talk_Evening_00,"talk_Evening_00"
talk_Day_Rain_00_01,"talk_Day_Rain_00_01"
talk_Evening_01,"talk_Evening_01"
Balloon_Evening,"Balloon_Evening"
Balloon_Day,"Balloon_Day"
