Label,String
Talk_0019,"Talk_0019"
Greeting_Evening,"Greeting_Evening"
Talk_0007,"Talk_0007"
Greeting_Rain,"Greeting_Rain"
Talk_0008,"Talk_0008"
Near_0001,"Near_0001"
Greeting_Thunder,"Greeting_Thunder"
Near_0002,"Near_0002"
Talk_0009,"Talk_0009"
Near_0003,"Near_0003"
Talk_0020,"Talk_0020"
Talk_0021,"Talk_0021"
Talk_0022,"Talk_0022"
Talk_0023,"Talk_0023"
Talk_0010,"Talk_0010"
Talk_0024,"Talk_0024"
0000,"0000"
Talk_0011,"Talk_0011"
Talk_0025,"Talk_0025"
0001,"0001"
Talk_0012,"Talk_0012"
Greeting_Morning,"Greeting_Morning"
Talk_0026,"Talk_0026"
0002,"0002"
Talk_0013,"Talk_0013"
Talk_0016,"Talk_0016"
Talk_0017,"Talk_0017"
Talk_0004,"Talk_0004"
Greeting_Noon,"Greeting_Noon"
Talk_0005,"Talk_0005"
Talk_0018,"Talk_0018"
