Label,String
Near0001,"Near0001"
Talk1019,"Talk1019"
1007,"1007"
Near0002,"Near0002"
Near2001,"Near2001"
Near2002,"Near2002"
Near2004,"Near2004"
Talk1030,"Talk1030"
Talk1031,"Talk1031"
Talk1032,"Talk1032"
Talk2010,"Talk2010"
Talk1033,"Talk1033"
Talk1021,"Talk1021"
Talk1034,"Talk1034"
Talk2001,"Talk2001"
Talk1011,"Talk1011"
Talk1024,"Talk1024"
Talk2002,"Talk2002"
Talk1025,"Talk1025"
Talk1012,"Talk1012"
Talk2003,"Talk2003"
1001,"1001"
Talk1026,"Talk1026"
Talk1013,"Talk1013"
Talk2004,"Talk2004"
Talk1014,"Talk1014"
1002,"1002"
1003,"1003"
Talk1015,"Talk1015"
Talk1029,"Talk1029"
Talk1016,"Talk1016"
1004,"1004"
1005,"1005"
Talk1017,"Talk1017"
Talk2008,"Talk2008"
Talk1018,"Talk1018"
1006,"1006"
Talk2009,"Talk2009"
