Label,String
Ballon_0001,"Ballon_0001"
Ballon_0002,"Ballon_0002"
ChallengeTalk_001,"ChallengeTalk_001"
ChallengeTalk_002,"ChallengeTalk_002"
ChallengeTalk_003,"ChallengeTalk_003"
ChallengeTalk_004,"ChallengeTalk_004"
Talk_0001,"Talk_0001"
ChallengeTalk_005,"ChallengeTalk_005"
ChallengeTalk_100,"ChallengeTalk_100"
Talk_0002,"Talk_0002"
ChallengeTalk_006,"ChallengeTalk_006"
Talk_0003,"Talk_0003"
ChallengeTalk_007,"ChallengeTalk_007"
Talk_0004,"Talk_0004"
Talk_0010,"Talk_0010"
ChallengeTalk_008,"ChallengeTalk_008"
Ballon_0000,"Ballon_0000"
