Label,String
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Com_Talk_13,"Com_Talk_13"
Com_Talk_14,"Com_Talk_14"
Com_Talk_15,"Com_Talk_15"
Com_Talk_16,"Com_Talk_16"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
Talk_12,"Talk_12"
Talk_13,"Talk_13"
0001,"0001"
Com_Talk_31,"Com_Talk_31"
Talk_14,"Talk_14"
0002,"0002"
0003,"0003"
Com_Talk_33,"Com_Talk_33"
Talk_16,"Talk_16"
Com_Talk_34,"Com_Talk_34"
Com_Talk_05b,"Com_Talk_05b"
Talk_17,"Talk_17"
Com_Talk_00,"Com_Talk_00"
Com_Talk_35,"Com_Talk_35"
Com_Talk_05c,"Com_Talk_05c"
Talk_18,"Talk_18"
Com_Talk_01,"Com_Talk_01"
Com_Talk_05d,"Com_Talk_05d"
NakedPlayer_00,"NakedPlayer_00"
Com_Talk_02,"Com_Talk_02"
NakedPlayer_01,"NakedPlayer_01"
NakedPlayer_02,"NakedPlayer_02"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_05,"Com_Talk_05"
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_52,"Com_Talk_52"
Com_Talk_02d,"Com_Talk_02d"
5500,"5500"
Talk_00,"Talk_00"
Com_Talk_53,"Com_Talk_53"
5501,"5501"
Talk_01,"Talk_01"
Com_Talk_54,"Com_Talk_54"
5502,"5502"
Talk_02,"Talk_02"
Com_Talk_55,"Com_Talk_55"
5503,"5503"
Talk_03,"Talk_03"
Com_Talk_56,"Com_Talk_56"
Talk_04,"Talk_04"
Talk_05,"Talk_05"
Talk_06,"Talk_06"
5507,"5507"
Talk_07,"Talk_07"
5508,"5508"
Near_00,"Near_00"
Talk_08,"Talk_08"
Talk_20,"Talk_20"
Talk_09,"Talk_09"
