Label,String
Talk13,"Talk13"
Talk30,"Talk30"
Near01,"Near01"
Talk14,"Talk14"
Talk31,"Talk31"
Near02,"Near02"
Talk32,"Talk32"
Near03,"Near03"
Talk33,"Talk33"
Talk34,"Talk34"
0001,"0001"
0002,"0002"
Talk35,"Talk35"
Talk01,"Talk01"
0003,"0003"
Talk36,"Talk36"
Talk02,"Talk02"
0004,"0004"
GoldHorse,"GoldHorse"
Talk38,"Talk38"
Talk39,"Talk39"
Talk04,"Talk04"
Talk21,"Talk21"
Talk22,"Talk22"
Talk40,"Talk40"
Talk23,"Talk23"
LargeHorse,"LargeHorse"
Talk41,"Talk41"
Talk24,"Talk24"
Talk25,"Talk25"
WakkaCharm,"WakkaCharm"
Talk26,"Talk26"
Talk27,"Talk27"
Talk28,"Talk28"
Talk29,"Talk29"
BoneHorse,"BoneHorse"
