Label,String
talk1014,"talk1014"
talk9008,"talk9008"
talk1015,"talk1015"
talk9009,"talk9009"
talk1016,"talk1016"
talk9010,"talk9010"
talk1017,"talk1017"
talk9011,"talk9011"
talk1018,"talk1018"
talk9012,"talk9012"
talk9019_01,"talk9019_01"
talk1019,"talk1019"
talk9021_01,"talk9021_01"
talk9014,"talk9014"
talk1021,"talk1021"
talk9016_01,"talk9016_01"
talk1022,"talk1022"
talk9016,"talk9016"
talk1023,"talk1023"
talk9017,"talk9017"
talk9019,"talk9019"
talk9012_01,"talk9012_01"
talk9020,"talk9020"
talk9021,"talk9021"
talk9012_02,"talk9012_02"
talk9023,"talk9023"
0001,"0001"
0002,"0002"
talk1003,"talk1003"
talk9014_00_00,"talk9014_00_00"
near1005,"near1005"
talk9014_00_01,"talk9014_00_01"
talk1005,"talk1005"
talk9014_00_02,"talk9014_00_02"
talk1006,"talk1006"
talk9020_01,"talk9020_01"
talk9000,"talk9000"
talk1007,"talk1007"
talk9020_02,"talk9020_02"
talk9001,"talk9001"
talk1008,"talk1008"
near9003,"near9003"
talk9020_03,"talk9020_03"
talk1009,"talk1009"
talk9014_01,"talk9014_01"
talk9020_04,"talk9020_04"
talk1010,"talk1010"
talk9014_02,"talk9014_02"
talk9020_05,"talk9020_05"
talk1011,"talk1011"
talk1012,"talk1012"
talk1013,"talk1013"
