Label,String
GoRange_01,"GoRange_01"
BackRange_03,"BackRange_03"
GoRange_02,"GoRange_02"
GoRange_03,"GoRange_03"
Near_RainPoint_01,"Near_RainPoint_01"
Guardian00,"Guardian00"
Near_GoalPoint_01,"Near_GoalPoint_01"
SavedLv3_00,"SavedLv3_00"
Greeting,"Greeting"
Near_Rain,"Near_Rain"
Near_GoRange_01,"Near_GoRange_01"
Near_BackRange_03,"Near_BackRange_03"
SavedLv3_01,"SavedLv3_01"
Greeting_00,"Greeting_00"
GoRange_02_3,"GoRange_02_3"
BackRange_03_2,"BackRange_03_2"
Near_GoRange_02,"Near_GoRange_02"
EnokidaSignboard,"EnokidaSignboard"
Greeting_01,"Greeting_01"
Near_GoRange_03,"Near_GoRange_03"
Thanks00,"Thanks00"
Greeting_02,"Greeting_02"
StartPoint_01,"StartPoint_01"
SavedLv2_00,"SavedLv2_00"
GoalPoint_01,"GoalPoint_01"
SavedLv2_01,"SavedLv2_01"
Near_GoRange_02_1,"Near_GoRange_02_1"
SavedLv1_00,"SavedLv1_00"
Failed00,"Failed00"
SavedLv1_01,"SavedLv1_01"
Failed01,"Failed01"
GoRange_03_2,"GoRange_03_2"
Atacked00,"Atacked00"
Near_StartPoint_01,"Near_StartPoint_01"
Atacked01,"Atacked01"
StartPoint_01_2,"StartPoint_01_2"
Near_StartPoint_02,"Near_StartPoint_02"
Near_Thunder,"Near_Thunder"
StartPoint_01_3,"StartPoint_01_3"
GoalPoint_01_2,"GoalPoint_01_2"
StartPoint_01_4,"StartPoint_01_4"
RainPoint_01,"RainPoint_01"
GoRange_01_2,"GoRange_01_2"
