Label,String
Talk_Ready_1006,"Talk_Ready_1006"
Talk_2100,"Talk_2100"
Talk_3003,"Talk_3003"
Talk_Ready_1007,"Talk_Ready_1007"
Talk_2101,"Talk_2101"
Talk_3004,"Talk_3004"
Talk_Ready_1008,"Talk_Ready_1008"
Talk_Ready_1009,"Talk_Ready_1009"
Talk_2103,"Talk_2103"
Talk_Search_1002,"Talk_Search_1002"
Talk_2010,"Talk_2010"
Talk_2011,"Talk_2011"
Talk_Excape_1002,"Talk_Excape_1002"
Talk_Search_1004,"Talk_Search_1004"
Talk_2012,"Talk_2012"
Talk_Ready_1010,"Talk_Ready_1010"
Talk_Search_1005,"Talk_Search_1005"
Talk_2013,"Talk_2013"
Talk_Ready_1011,"Talk_Ready_1011"
Talk_Search_1006,"Talk_Search_1006"
Talk_2014,"Talk_2014"
Talk_Excape_1005,"Talk_Excape_1005"
Talk_Search_1007,"Talk_Search_1007"
Talk_Search_1008,"Talk_Search_1008"
0003,"0003"
Talk_Ready_1002,"Talk_Ready_1002"
Talk_Ready_1003,"Talk_Ready_1003"
Talk_3000,"Talk_3000"
Near_Ready_1002,"Near_Ready_1002"
Talk_Ready_1004,"Talk_Ready_1004"
Talk_3001,"Talk_3001"
Talk_Ready_1005,"Talk_Ready_1005"
