Label,String
Talk020,"Talk020"
Talk09_2_1,"Talk09_2_1"
Talk021,"Talk021"
0010,"0010"
Balloon0_1,"Balloon0_1"
Talk022,"Talk022"
Talk023,"Talk023"
Talk03_0_1,"Talk03_0_1"
Balloon0_2,"Balloon0_2"
Balloon0_3,"Balloon0_3"
Talk09_0,"Talk09_0"
Talk02,"Talk02"
Talk09_1,"Talk09_1"
Talk08_00,"Talk08_00"
Talk09_3,"Talk09_3"
Talk06_0,"Talk06_0"
Talk08_02,"Talk08_02"
Talk06_1,"Talk06_1"
Talk52,"Talk52"
Talk06_2,"Talk06_2"
Talk53,"Talk53"
Talk061_4,"Talk061_4"
Talk061_5,"Talk061_5"
Talk010,"Talk010"
Talk03_1_1,"Talk03_1_1"
Talk061_6,"Talk061_6"
Talk57,"Talk57"
0000,"0000"
Talk012,"Talk012"
0001,"0001"
Talk013,"Talk013"
0002,"0002"
0003,"0003"
Talk14_1,"Talk14_1"
Talk015,"Talk015"
Talk07_0,"Talk07_0"
0004,"0004"
Talk14_2,"Talk14_2"
Talk016,"Talk016"
Talk07_1,"Talk07_1"
0005,"0005"
Talk017,"Talk017"
Talk07_2,"Talk07_2"
Talk40,"Talk40"
Talk11_0,"Talk11_0"
Talk018,"Talk018"
0007,"0007"
Talk11_1,"Talk11_1"
Talk019,"Talk019"
0008,"0008"
Talk11_2,"Talk11_2"
Talk04_1,"Talk04_1"
0009,"0009"
Talk11_3,"Talk11_3"
Talk04_0_1,"Talk04_0_1"
Talk10,"Talk10"
Talk12,"Talk12"
Talk13,"Talk13"
Talk08_1,"Talk08_1"
Talk15,"Talk15"
Talk08_2,"Talk08_2"
Talk05_1,"Talk05_1"
Talk19,"Talk19"
Talk30,"Talk30"
Talk03_3_1,"Talk03_3_1"
Talk09_2_0,"Talk09_2_0"
Talk31,"Talk31"
