Label,String
DmT_ZE_QueenDead_Text_012_c,"DmT_ZE_QueenDead_Text_012_c"
DmT_ZE_QueenDead_Text_014_b,"DmT_ZE_QueenDead_Text_014_b"
DmT_ZE_QueenDead_Text_001_b,"DmT_ZE_QueenDead_Text_001_b"
DmT_ZE_QueenDead_Text_012_aab,"DmT_ZE_QueenDead_Text_012_aab"
DmT_ZE_QueenDead_Text_005_c,"DmT_ZE_QueenDead_Text_005_c"
DmT_ZE_QueenDead_Text_007_b,"DmT_ZE_QueenDead_Text_007_b"
DmT_ZE_QueenDead_Text_018_d,"DmT_ZE_QueenDead_Text_018_d"
DmT_ZE_QueenDead_Text_009_b,"DmT_ZE_QueenDead_Text_009_b"
DmT_ZE_QueenDead_Text_020_b,"DmT_ZE_QueenDead_Text_020_b"
DmT_ZE_QueenDead_Text_022_b,"DmT_ZE_QueenDead_Text_022_b"
DmT_ZE_QueenDead_Text_022_c,"DmT_ZE_QueenDead_Text_022_c"
DmT_ZE_QueenDead_Text_012_aaac,"DmT_ZE_QueenDead_Text_012_aaac"
DmT_ZE_QueenDead_Text_013_b,"DmT_ZE_QueenDead_Text_013_b"
DmT_ZE_QueenDead_Text_017_ab,"DmT_ZE_QueenDead_Text_017_ab"
DmT_ZE_QueenDead_Text_000_b,"DmT_ZE_QueenDead_Text_000_b"
DmT_ZE_QueenDead_Text_002_ac,"DmT_ZE_QueenDead_Text_002_ac"
DmT_ZE_QueenDead_Text_011_d,"DmT_ZE_QueenDead_Text_011_d"
DmT_ZE_QueenDead_Text_012_ac,"DmT_ZE_QueenDead_Text_012_ac"
DmT_ZE_QueenDead_Text_015_c,"DmT_ZE_QueenDead_Text_015_c"
DmT_ZE_QueenDead_Text_002_c,"DmT_ZE_QueenDead_Text_002_c"
DmT_ZE_QueenDead_Text_017_c,"DmT_ZE_QueenDead_Text_017_c"
DmT_ZE_QueenDead_Text_019_b,"DmT_ZE_QueenDead_Text_019_b"
DmT_ZE_QueenDead_Text_006_b,"DmT_ZE_QueenDead_Text_006_b"
DmT_ZE_QueenDead_Text_018_bb,"DmT_ZE_QueenDead_Text_018_bb"
DmT_ZE_QueenDead_Text_004_d,"DmT_ZE_QueenDead_Text_004_d"
DmT_ZE_QueenDead_Text_008_b,"DmT_ZE_QueenDead_Text_008_b"
DmT_ZE_QueenDead_Text_021_b,"DmT_ZE_QueenDead_Text_021_b"
DmT_ZE_QueenDead_Text_023_c,"DmT_ZE_QueenDead_Text_023_c"
DmT_ZE_QueenDead_Text_025_b,"DmT_ZE_QueenDead_Text_025_b"
