Label,String
talk_0079,"talk_0079"
talk_0021,"talk_0021"
talk_0022,"talk_0022"
talk_0023,"talk_0023"
talk_0122,"talk_0122"
talk_0024,"talk_0024"
talk_0025,"talk_0025"
talk_0026,"talk_0026"
talk_0091,"talk_0091"
talk_0125,"talk_0125"
talk_0126,"talk_0126"
talk_0010,"talk_0010"
talk_0051,"talk_0051"
0018,"0018"
talk_0093,"talk_0093"
talk_0127,"talk_0127"
talk_0011,"talk_0011"
0001,"0001"
0019,"0019"
talk_0053,"talk_0053"
talk_0012,"talk_0012"
0002,"0002"
talk_0129,"talk_0129"
talk_0095,"talk_0095"
talk_0111,"talk_0111"
talk_0013,"talk_0013"
talk_0054,"talk_0054"
talk_0014,"talk_0014"
talk_0055,"talk_0055"
talk_0097,"talk_0097"
talk_0015,"talk_0015"
talk_0098,"talk_0098"
talk_0080,"talk_0080"
talk_0016,"talk_0016"
talk_0115,"talk_0115"
talk_0017,"talk_0017"
talk_0000,"talk_0000"
talk_0116,"talk_0116"
talk_0018,"talk_0018"
talk_0001,"talk_0001"
talk_0019,"talk_0019"
talk_0002,"talk_0002"
near_0000,"near_0000"
talk_0119,"talk_0119"
talk_0004,"talk_0004"
talk_0102,"talk_0102"
talk_0103,"talk_0103"
near_0002,"near_0002"
talk_0104,"talk_0104"
talk_0089,"talk_0089"
talk_0071,"talk_0071"
talk_0105,"talk_0105"
near_0004,"near_0004"
talk_0072,"talk_0072"
talk_0130,"talk_0130"
talk_0073,"talk_0073"
talk_0108,"talk_0108"
talk_0075,"talk_0075"
talk_0109,"talk_0109"
talk_0076,"talk_0076"
