Label,String
Dm_ZO_0023_Text_005_b,"Dm_ZO_0023_Text_005_b"
Dm_ZO_0023_Text_006_b,"Dm_ZO_0023_Text_006_b"
Dm_ZO_0023_Text_007_b,"Dm_ZO_0023_Text_007_b"
Dm_ZO_0023_Text_000_b,"Dm_ZO_0023_Text_000_b"
Dm_ZO_0023_Text_000_c,"Dm_ZO_0023_Text_000_c"
Dm_ZO_0023_Text_001_b,"Dm_ZO_0023_Text_001_b"
Dm_ZO_0023_Text_009_b,"Dm_ZO_0023_Text_009_b"
Dm_ZO_0023_Text_002_b,"Dm_ZO_0023_Text_002_b"
Dm_ZO_0023_Text_003_b,"Dm_ZO_0023_Text_003_b"
Dm_ZO_0023_Text_004_b,"Dm_ZO_0023_Text_004_b"
Dm_ZO_0023_Text_010_b,"Dm_ZO_0023_Text_010_b"
Dm_ZO_0023_Text_003_c,"Dm_ZO_0023_Text_003_c"
