Label,String
Talk_0001,"Talk_0001"
Talk_0011,"Talk_0011"
Talk_0021,"Talk_0021"
Talk_1001,"Talk_1001"
Talk_1011,"Talk_1011"
Talk_1021,"Talk_1021"
Talk_0002,"Talk_0002"
Talk_0012,"Talk_0012"
Talk_1002,"Talk_1002"
Talk_1012,"Talk_1012"
Talk_0003,"Talk_0003"
Talk_0013,"Talk_0013"
Talk_1003,"Talk_1003"
Talk_0004,"Talk_0004"
Talk_1004,"Talk_1004"
Talk_0005,"Talk_0005"
Talk_1001_01_00,"Talk_1001_01_00"
Talk_1005,"Talk_1005"
Talk_1001_01_01,"Talk_1001_01_01"
Near_0001,"Near_0001"
Talk_0007,"Talk_0007"
Talk_1001_01_02,"Talk_1001_01_02"
Talk_1001_01_03,"Talk_1001_01_03"
Talk_1001_01_04,"Talk_1001_01_04"
Talk_1001_01_05,"Talk_1001_01_05"
