Label,String
Ballon_0004,"Ballon_0004"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
Talk_0010,"Talk_0010"
Talk_0071,"Talk_0071"
Talk_0011,"Talk_0011"
0001,"0001"
Talk_0012,"Talk_0012"
Talk_0060,"Talk_0060"
Talk_0073,"Talk_0073"
0002,"0002"
Talk_0013,"Talk_0013"
Talk_0061,"Talk_0061"
Talk_0074,"Talk_0074"
Talk_0001,"Talk_0001"
0003,"0003"
Talk_0002,"Talk_0002"
Talk_0050,"Talk_0050"
Talk_0003,"Talk_0003"
Ballon_0001,"Ballon_0001"
Talk_0051,"Talk_0051"
Talk_0004,"Talk_0004"
0006,"0006"
Talk_0052,"Talk_0052"
Talk_0005,"Talk_0005"
Talk_0053,"Talk_0053"
