Label,String
talk_10,"talk_10"
1002,"1002"
talk_28,"talk_28"
1003,"1003"
Near_1_4,"Near_1_4"
talk_11,"talk_11"
talk_29,"talk_29"
talk_12,"talk_12"
Near_1_5,"Near_1_5"
Near_1_6,"Near_1_6"
talk_13,"talk_13"
talk_30,"talk_30"
Talk_1_1,"Talk_1_1"
Near_1_7,"Near_1_7"
talk_14,"talk_14"
talk_31,"talk_31"
Talk_1_2,"Talk_1_2"
talk_15,"talk_15"
talk_32,"talk_32"
Talk_1_3,"Talk_1_3"
Talk01,"Talk01"
talk_16,"talk_16"
talk_33,"talk_33"
talk_34,"talk_34"
talk_18,"talk_18"
talk_35,"talk_35"
Talk04,"Talk04"
talk_19,"talk_19"
talk_21,"talk_21"
talk_22,"talk_22"
talk_23,"talk_23"
talk_25,"talk_25"
Near_1_1,"Near_1_1"
Near_1_2,"Near_1_2"
talk_27,"talk_27"
