Label,String
BackRange_01,"BackRange_01"
BackRange_02_2,"BackRange_02_2"
BackRange_02,"BackRange_02"
GoRange_01,"GoRange_01"
BackRange_03,"BackRange_03"
BeforeMeetPurah_01_2,"BeforeMeetPurah_01_2"
GoRange_02,"GoRange_02"
BeforeMeetPurah_01,"BeforeMeetPurah_01"
RainPoint_01_2,"RainPoint_01_2"
GoRange_03,"GoRange_03"
Near_RainPoint_01,"Near_RainPoint_01"
Near_GoalPoint_01,"Near_GoalPoint_01"
Near_BackRange_01,"Near_BackRange_01"
Near_BeforeMeetPurah_01,"Near_BeforeMeetPurah_01"
Near_BackRange_02,"Near_BackRange_02"
Greeting,"Greeting"
GoRange_02_2,"GoRange_02_2"
Near_Rain,"Near_Rain"
Near_GoRange_01,"Near_GoRange_01"
Near_BackRange_03,"Near_BackRange_03"
0000,"0000"
BackRange_03_2,"BackRange_03_2"
Near_GoRange_02,"Near_GoRange_02"
0001,"0001"
Near_GoRange_03,"Near_GoRange_03"
StartPoint_01,"StartPoint_01"
GoalPoint_01,"GoalPoint_01"
BackRange_01_2,"BackRange_01_2"
GoalPoint_04,"GoalPoint_04"
GoalPoint_05,"GoalPoint_05"
GoRange_03_2,"GoRange_03_2"
Near_StartPoint_01,"Near_StartPoint_01"
StartPoint_01_2,"StartPoint_01_2"
Near_Thunder,"Near_Thunder"
StartPoint_01_3,"StartPoint_01_3"
GoalPoint_01_2,"GoalPoint_01_2"
RainPoint_01,"RainPoint_01"
GoRange_01_2,"GoRange_01_2"
