Label,String
talk0123,"talk0123"
Ballon01_13,"Ballon01_13"
talk0124,"talk0124"
talk0125,"talk0125"
Ballon01_15,"Ballon01_15"
talk0126,"talk0126"
Ballon01_17,"Ballon01_17"
talk0150,"talk0150"
Ballon01_101,"Ballon01_101"
talk0151,"talk0151"
talk0152,"talk0152"
Ballon01_01,"Ballon01_01"
Ballon01_102,"Ballon01_102"
talk0153,"talk0153"
Ballon01_103,"Ballon01_103"
talk0154,"talk0154"
Ballon01_03,"Ballon01_03"
WakkaCharm,"WakkaCharm"
Ballon01_104,"Ballon01_104"
TerrorBomb,"TerrorBomb"
Ballon01_105,"Ballon01_105"
talk0114,"talk0114"
Ballon01_106,"Ballon01_106"
talk0115,"talk0115"
Ballon01_107,"Ballon01_107"
talk0116,"talk0116"
talk0140,"talk0140"
Ballon01_108,"Ballon01_108"
talk0117,"talk0117"
Ballon01_109,"Ballon01_109"
talk0118,"talk0118"
talk0141,"talk0141"
talk0142,"talk0142"
talk0143,"talk0143"
TerrorFire,"TerrorFire"
talk0146,"talk0146"
talk0130,"talk0130"
talk0148,"talk0148"
talk0131,"talk0131"
talk0149,"talk0149"
TerrorArrow_02,"TerrorArrow_02"
talk0132,"talk0132"
TerrorFlash,"TerrorFlash"
talk0133,"talk0133"
Talk0150,"Talk0150"
Talk0151,"Talk0151"
Talk0152,"Talk0152"
TerrorIce,"TerrorIce"
talk0136,"talk0136"
Ballon01_110,"Ballon01_110"
talk0137,"talk0137"
Ballon01_10,"Ballon01_10"
Ballon01_111,"Ballon01_111"
Ballon01_11,"Ballon01_11"
Ballon01_112,"Ballon01_112"
talk0139,"talk0139"
TerrorHorse_02,"TerrorHorse_02"
Ballon01_12,"Ballon01_12"
