Label,String
Near_BackRange_01,"Near_BackRange_01"
StartPoint_01_2,"StartPoint_01_2"
GoalPoint_01_2,"GoalPoint_01_2"
RainPoint_01_2,"RainPoint_01_2"
GoRange_01,"GoRange_01"
RainPoint_01,"RainPoint_01"
Near_GoalPoint_01,"Near_GoalPoint_01"
Near_StartPoint_01,"Near_StartPoint_01"
FriendGreet_00,"FriendGreet_00"
Greeting,"Greeting"
Greeting_01,"Greeting_01"
StartPoint_01,"StartPoint_01"
Greeting_02,"Greeting_02"
StartPoint_02,"StartPoint_02"
GoRange_01_2,"GoRange_01_2"
GoalPoint_01,"GoalPoint_01"
BackRange_01,"BackRange_01"
BackRange_01_2,"BackRange_01_2"
GoalPoint_02,"GoalPoint_02"
Near_RainPoint_01,"Near_RainPoint_01"
Near_Thunder,"Near_Thunder"
Near_Rain,"Near_Rain"
Near_GoRange_01,"Near_GoRange_01"
