Label,String
talk_1008,"talk_1008"
talk_5007,"talk_5007"
near_2000,"near_2000"
talk_4000,"talk_4000"
talk_5008,"talk_5008"
near_2001,"near_2001"
talk_4001,"talk_4001"
near_5100,"near_5100"
talk_5009,"talk_5009"
SagonoHat,"SagonoHat"
talk_4002,"talk_4002"
talk_4003,"talk_4003"
talk_2200,"talk_2200"
talk_3100,"talk_3100"
talk_4004,"talk_4004"
talk_2201,"talk_2201"
talk_3101,"talk_3101"
talk_4007,"talk_4007"
near_1000,"near_1000"
talk_1300,"talk_1300"
talk_4008,"talk_4008"
talk_1301,"talk_1301"
near_4100,"near_4100"
talk_4009,"talk_4009"
near_5000,"near_5000"
near_4101,"near_4101"
talk_2100,"talk_2100"
talk_3000,"talk_3000"
talk_2101,"talk_2101"
near_3200,"near_3200"
talk_3001,"talk_3001"
talk_3002,"talk_3002"
talk_5010,"talk_5010"
talk_5011,"talk_5011"
talk_1200,"talk_1200"
talk_1201,"talk_1201"
talk_3005,"talk_3005"
near_4000,"near_4000"
talk_4300,"talk_4300"
talk_3006,"talk_3006"
talk_4301,"talk_4301"
talk_3007,"talk_3007"
talk_2000,"talk_2000"
talk_2001,"talk_2001"
near_3101,"near_3101"
talk_1100,"talk_1100"
talk_2004,"talk_2004"
talk_1101,"talk_1101"
near_2200,"near_2200"
talk_4200,"talk_4200"
talk_2006,"talk_2006"
talk_4201,"talk_4201"
near_00,"near_00"
talk_2008,"talk_2008"
talk_2009,"talk_2009"
near_3000,"near_3000"
talk_3300,"talk_3300"
talk_3301,"talk_3301"
talk_1000,"talk_1000"
near_1200,"near_1200"
talk_1001,"talk_1001"
talk_4100,"talk_4100"
talk_5000,"talk_5000"
NakedPlayer,"NakedPlayer"
near_1201,"near_1201"
talk_1002,"talk_1002"
talk_4101,"talk_4101"
near_5200,"near_5200"
talk_5001,"talk_5001"
talk_5002,"talk_5002"
talk_5003,"talk_5003"
talk_2300,"talk_2300"
talk_3200,"talk_3200"
talk_5004,"talk_5004"
talk_2301,"talk_2301"
talk_3201,"talk_3201"
talk_5005,"talk_5005"
talk_1007,"talk_1007"
talk_5006,"talk_5006"
