Label,String
Talk_0211,"Talk_0211"
Talk_0212,"Talk_0212"
Talk_0213,"Talk_0213"
Near_0001,"Near_0001"
Near_0002,"Near_0002"
Talk_0100,"Talk_0100"
Near_0003,"Near_0003"
Talk_0101,"Talk_0101"
Talk_0102,"Talk_0102"
Talk_0103,"Talk_0103"
Talk_0104,"Talk_0104"
Talk_0105,"Talk_0105"
Talk_0107,"Talk_0107"
Talk_0108,"Talk_0108"
Talk_0109,"Talk_0109"
Talk_0110,"Talk_0110"
0001,"0001"
Talk_0111,"Talk_0111"
0002,"0002"
Talk_0112,"Talk_0112"
Talk_0200,"Talk_0200"
0003,"0003"
Talk_0113,"Talk_0113"
Talk_0201,"Talk_0201"
Talk_0114,"Talk_0114"
0004,"0004"
Talk_0202,"Talk_0202"
Talk_0115,"Talk_0115"
0005,"0005"
Talk_0203,"Talk_0203"
Talk_0116,"Talk_0116"
Talk_0204,"Talk_0204"
Talk_0117,"Talk_0117"
0007,"0007"
Talk_0205,"Talk_0205"
Talk_0118,"Talk_0118"
0008,"0008"
Talk_0206,"Talk_0206"
Talk_0119,"Talk_0119"
0009,"0009"
Talk_0207,"Talk_0207"
Talk_0120,"Talk_0120"
0010,"0010"
Talk_0208,"Talk_0208"
Talk_0209,"Talk_0209"
Talk_0210,"Talk_0210"
