Label,String
talk0041,"talk0041"
talk0013,"talk0013"
talk0042,"talk0042"
talk0043,"talk0043"
talk0014,"talk0014"
near0002,"near0002"
talk0044,"talk0044"
near0004,"near0004"
talk0016,"talk0016"
talk0045,"talk0045"
talk0046,"talk0046"
near0005,"near0005"
talk0047,"talk0047"
talk0018,"talk0018"
near0006,"near0006"
talk0048,"talk0048"
talk0019,"talk0019"
near0007,"near0007"
talk0049,"talk0049"
talk0020,"talk0020"
talk0050,"talk0050"
talk0051,"talk0051"
talk0022,"talk0022"
NakedPlayer,"NakedPlayer"
talk0023,"talk0023"
talk0024,"talk0024"
talk0025,"talk0025"
talk2013,"talk2013"
talk0026,"talk0026"
talk0027,"talk0027"
talk0028,"talk0028"
talk0029,"talk0029"
talk0030,"talk0030"
talk0001,"talk0001"
talk0031,"talk0031"
0005,"0005"
talk0032,"talk0032"
0006,"0006"
talk0033,"talk0033"
talk0034,"talk0034"
talk0035,"talk0035"
0008,"0008"
talk0006,"talk0006"
talk0036,"talk0036"
0010,"0010"
talk0037,"talk0037"
0011,"0011"
talk0038,"talk0038"
0012,"0012"
talk0039,"talk0039"
talk0040,"talk0040"
