Label,String
talk15,"talk15"
0009,"0009"
talk16,"talk16"
talk17,"talk17"
talk18,"talk18"
talk19,"talk19"
0010,"0010"
talk08,"talk08"
0011,"0011"
talk09,"talk09"
0000,"0000"
talk20,"talk20"
Talk_00,"Talk_00"
0001,"0001"
talk21,"talk21"
Talk_01,"Talk_01"
0002,"0002"
talk22,"talk22"
Talk_02,"Talk_02"
0003,"0003"
talk10,"talk10"
Talk_03,"Talk_03"
0004,"0004"
talk11,"talk11"
Talk_04,"Talk_04"
0005,"0005"
talk12,"talk12"
Talk_05,"Talk_05"
0006,"0006"
talk13,"talk13"
Near_01,"Near_01"
NakedPlayer,"NakedPlayer"
talk14,"talk14"
