Label,String
Talk_1012,"Talk_1012"
0015,"0015"
talk0013,"talk0013"
talk0014,"talk0014"
talk0015,"talk0015"
SunaTalk06,"SunaTalk06"
talk0016,"talk0016"
0000,"0000"
SunaTalk07,"SunaTalk07"
0001,"0001"
Talk_10,"Talk_10"
0003,"0003"
talk0002,"talk0002"
0004,"0004"
talk0020,"talk0020"
0005,"0005"
talk0021,"talk0021"
talk0022,"talk0022"
Talk_1004,"Talk_1004"
Talk_1022,"Talk_1022"
talk0006,"talk0006"
near0000,"near0000"
talk0024,"talk0024"
talk0025,"talk0025"
talk0008,"talk0008"
AssassinClothes,"AssassinClothes"
talk0026,"talk0026"
near0002,"near0002"
0010,"0010"
talk0027,"talk0027"
0011,"0011"
SunaTalk00,"SunaTalk00"
0012,"0012"
SunaTalk01,"SunaTalk01"
SunaTalk02,"SunaTalk02"
SunaTalk03,"SunaTalk03"
