Label,String
Talk_54_03,"Talk_54_03"
Talk_54_04,"Talk_54_04"
Talk_06_01,"Talk_06_01"
Talk_06_02,"Talk_06_02"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_51,"Talk_51"
Talk_23,"Talk_23"
Talk_52,"Talk_52"
Talk_53,"Talk_53"
Talk_54,"Talk_54"
Talk_55,"Talk_55"
Talk_33_01,"Talk_33_01"
Near_00,"Near_00"
Talk_33_02,"Talk_33_02"
Talk_57,"Talk_57"
Talk_00,"Talk_00"
Near_01,"Near_01"
Talk_58,"Talk_58"
Talk_01,"Talk_01"
0001,"0001"
Talk_59,"Talk_59"
Talk_02,"Talk_02"
0002,"0002"
Talk_31,"Talk_31"
Talk_60,"Talk_60"
Talk_03,"Talk_03"
0003,"0003"
Talk_32,"Talk_32"
Talk_61,"Talk_61"
Talk_04,"Talk_04"
0004,"0004"
Talk_33,"Talk_33"
Talk_62,"Talk_62"
Talk_05,"Talk_05"
Talk_34,"Talk_34"
Talk_63,"Talk_63"
Talk_06,"Talk_06"
Talk_35,"Talk_35"
Talk_07,"Talk_07"
Talk_21_01,"Talk_21_01"
Talk_36,"Talk_36"
Talk_57_01,"Talk_57_01"
Talk_57_02,"Talk_57_02"
Talk_11,"Talk_11"
Talk_12,"Talk_12"
Talk_41,"Talk_41"
Talk_54_01,"Talk_54_01"
Talk_13,"Talk_13"
Talk_54_02,"Talk_54_02"
