Label,String
Talk0103,"Talk0103"
Talk0027,"Talk0027"
Talk0010,"Talk0010"
Talk0011,"Talk0011"
Near0000,"Near0000"
Talk0007_01,"Talk0007_01"
Talk0012,"Talk0012"
Near0001,"Near0001"
Near0002,"Near0002"
Near0003,"Near0003"
Talk0015,"Talk0015"
Talk0016,"Talk0016"
Near0004,"Near0004"
Near0005,"Near0005"
Talk0017,"Talk0017"
Talk0000,"Talk0000"
Talk0018,"Talk0018"
Talk0001,"Talk0001"
Talk0019,"Talk0019"
Talk0003_00,"Talk0003_00"
Talk0002,"Talk0002"
Talk0003,"Talk0003"
Talk0020,"Talk0020"
Talk0004,"Talk0004"
Talk0021,"Talk0021"
Talk0022,"Talk0022"
Talk0006,"Talk0006"
Talk0023,"Talk0023"
Talk0100,"Talk0100"
Talk0024,"Talk0024"
Talk0007,"Talk0007"
Talk0101,"Talk0101"
Talk0008,"Talk0008"
Talk0026,"Talk0026"
Talk0009,"Talk0009"
