Label,String
Talk_07,"Talk_07"
Near_03,"Near_03"
Talk_30,"Talk_30"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
Talk_20,"Talk_20"
Talk_33,"Talk_33"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_35,"Talk_35"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
Talk_37,"Talk_37"
Talk_24,"Talk_24"
Talk_12,"Talk_12"
Talk_25,"Talk_25"
Talk_13,"Talk_13"
Talk_26,"Talk_26"
Talk_01,"Talk_01"
Talk_14,"Talk_14"
Talk_27,"Talk_27"
Talk_15,"Talk_15"
Talk_02,"Talk_02"
Talk_04,"Talk_04"
Talk_17,"Talk_17"
Near_01,"Near_01"
Talk_18,"Talk_18"
Talk_05,"Talk_05"
Near_02,"Near_02"
