Label,String
talk_09,"talk_09"
near_0008,"near_0008"
talk0026,"talk0026"
talk0087,"talk0087"
Talk0050,"Talk0050"
talk0027,"talk0027"
talk0088,"talk0088"
Talk0051,"Talk0051"
talk0028,"talk0028"
Talk0052,"Talk0052"
Talk0053,"Talk0053"
talk0029,"talk0029"
Talk0054,"Talk0054"
talk_40,"talk_40"
talk_41,"talk_41"
Talk0040,"Talk0040"
talk_42,"talk_42"
Talk0041,"Talk0041"
talk_43,"talk_43"
talk_44,"talk_44"
Talk0043,"Talk0043"
Talk0044,"Talk0044"
talk_130,"talk_130"
Talk0046,"Talk0046"
talk_131,"talk_131"
Talk0047,"Talk0047"
talk_132,"talk_132"
Talk0048,"Talk0048"
Talk0049,"Talk0049"
talk_31,"talk_31"
talk_32,"talk_32"
talk_33,"talk_33"
talk_34,"talk_34"
talk_36,"talk_36"
talk_37,"talk_37"
talk_120,"talk_120"
talk_38,"talk_38"
talk_121,"talk_121"
talk_39,"talk_39"
talk_122,"talk_122"
talk_20,"talk_20"
talk_123,"talk_123"
talk_21,"talk_21"
talk_124,"talk_124"
talk_22,"talk_22"
talk_125,"talk_125"
talk_23,"talk_23"
talk_126,"talk_126"
talk_24,"talk_24"
talk_127,"talk_127"
talk_25,"talk_25"
talk_128,"talk_128"
0010,"0010"
talk_26,"talk_26"
talk_129,"talk_129"
talk_27,"talk_27"
talk_110,"talk_110"
talk_28,"talk_28"
talk_111,"talk_111"
talk_29,"talk_29"
talk_112,"talk_112"
talk_10,"talk_10"
talk_113,"talk_113"
Talk0029,"Talk0029"
talk_11,"talk_11"
talk_114,"talk_114"
talk_12,"talk_12"
talk_115,"talk_115"
near_0010,"near_0010"
talk_13,"talk_13"
talk_116,"talk_116"
talk_14,"talk_14"
talk_117,"talk_117"
talk0030,"talk0030"
talk_15,"talk_15"
talk_118,"talk_118"
talk_16,"talk_16"
talk_119,"talk_119"
talk_17,"talk_17"
talk_100,"talk_100"
0001,"0001"
0002,"0002"
talk_18,"talk_18"
talk_101,"talk_101"
0003,"0003"
talk_19,"talk_19"
talk_102,"talk_102"
talk_103,"talk_103"
0004,"0004"
0005,"0005"
talk_03,"talk_03"
talk_106,"talk_106"
talk_04,"talk_04"
talk_107,"talk_107"
talk0081,"talk0081"
0009,"0009"
talk_05,"talk_05"
talk_108,"talk_108"
talk0082,"talk0082"
Talk0004,"Talk0004"
talk_06,"talk_06"
talk_109,"talk_109"
talk_07,"talk_07"
talk0084,"talk0084"
Talk0006,"Talk0006"
talk_08,"talk_08"
