Label,String
NewText_04,"NewText_04"
NewText_05,"NewText_05"
Raumi_BossHint4_00,"Raumi_BossHint4_00"
NewText_06,"NewText_06"
Raumi_Description_00,"Raumi_Description_00"
Raumi_BossHint4_01,"Raumi_BossHint4_01"
Raumi_BossHint2_02,"Raumi_BossHint2_02"
Raumi_BossHint4_02,"Raumi_BossHint4_02"
LastBattleJoin_00,"LastBattleJoin_00"
Raumi_BossHint2_03,"Raumi_BossHint2_03"
LastBattleJoin_01,"LastBattleJoin_01"
Raumi_BossNoDamage_02,"Raumi_BossNoDamage_02"
Raumi_BossHint4_04,"Raumi_BossHint4_04"
Raumi_BossHint2_05,"Raumi_BossHint2_05"
Raumi_BossHint4_05,"Raumi_BossHint4_05"
Raumi_BossHint4_06,"Raumi_BossHint4_06"
Raumi_BossCritical_00,"Raumi_BossCritical_00"
Raumi_BossHint_02,"Raumi_BossHint_02"
NewText_11,"NewText_11"
NewText_02,"NewText_02"
NewText_12,"NewText_12"
NewText_03,"NewText_03"
