Label,String
LifeMaxUp_Name_Masculine,"LifeMaxUp_Name_Masculine"
ExStaminaMaxUp_MedicineDesc,"ExStaminaMaxUp_MedicineDesc"
ResistCold_Name_Neuter,"ResistCold_Name_Neuter"
ResistElectric_Name_Masculine,"ResistElectric_Name_Masculine"
AttackUpHot_Name_Plural,"AttackUpHot_Name_Plural"
QuietnessUp_Desc_02,"QuietnessUp_Desc_02"
DefenseUp_MedicineDesc,"DefenseUp_MedicineDesc"
AttackUp_Name,"AttackUp_Name"
AttackUpCold_Desc,"AttackUpCold_Desc"
QuietnessUp_Desc_03,"QuietnessUp_Desc_03"
ResistElectric_Name_Plural,"ResistElectric_Name_Plural"
AllSpeed_MedicineDesc,"AllSpeed_MedicineDesc"
ResistCold_Desc,"ResistCold_Desc"
ResistElectric_Desc,"ResistElectric_Desc"
AttackUp_Name_Plural,"AttackUp_Name_Plural"
MiasmaGuard_Name_Masculine,"MiasmaGuard_Name_Masculine"
ResistElectric_Desc_02,"ResistElectric_Desc_02"
ResistElectric_Desc_03,"ResistElectric_Desc_03"
AttackUp_MedicineDesc,"AttackUp_MedicineDesc"
StaminaRecover_Name_Plural,"StaminaRecover_Name_Plural"
AttackUpThunderstorm_Name_Masculine,"AttackUpThunderstorm_Name_Masculine"
SwimSpeedUp_Name,"SwimSpeedUp_Name"
AttackUpHot_Desc,"AttackUpHot_Desc"
ExStaminaMaxUp_Desc,"ExStaminaMaxUp_Desc"
QuietnessUp_Desc,"QuietnessUp_Desc"
ResistCold_MedicineDesc_02,"ResistCold_MedicineDesc_02"
MiasmaGuard_Name_Plural,"MiasmaGuard_Name_Plural"
StaminaRecover_Name,"StaminaRecover_Name"
LifeMaxUp_Name_Feminine,"LifeMaxUp_Name_Feminine"
LightEmission_Name_Plural,"LightEmission_Name_Plural"
AttackUp_MedicineDesc_02,"AttackUp_MedicineDesc_02"
AllSpeed_Desc,"AllSpeed_Desc"
AttackUp_MedicineDesc_03,"AttackUp_MedicineDesc_03"
AllSpeed_Name_Masculine,"AllSpeed_Name_Masculine"
AttackUpThunderstorm_Name_Neuter,"AttackUpThunderstorm_Name_Neuter"
AttackUpHot_Name_Feminine,"AttackUpHot_Name_Feminine"
DefenseUp_Name_Masculine,"DefenseUp_Name_Masculine"
AttackUpCold_Desc_02,"AttackUpCold_Desc_02"
AttackUpThunderstorm_Desc_02,"AttackUpThunderstorm_Desc_02"
QuietnessUp_MedicineDesc,"QuietnessUp_MedicineDesc"
ResistCold_Desc_02,"ResistCold_Desc_02"
MiasmaGuard_Name,"MiasmaGuard_Name"
HeartRepair_Name_Neuter,"HeartRepair_Name_Neuter"
NotSlippy_Name_Feminine,"NotSlippy_Name_Feminine"
LifeMaxUp_Desc,"LifeMaxUp_Desc"
AllSpeed_Name_Feminine,"AllSpeed_Name_Feminine"
LightEmission_Name_Masculine,"LightEmission_Name_Masculine"
ResistHot_MedicineDesc_02,"ResistHot_MedicineDesc_02"
ResistHot_Desc,"ResistHot_Desc"
AttackUpCold_Name,"AttackUpCold_Name"
StaminaRecover_Name_Masculine,"StaminaRecover_Name_Masculine"
SwimSpeedUp_Name_Neuter,"SwimSpeedUp_Name_Neuter"
SwimSpeedUp_Name_Feminine,"SwimSpeedUp_Name_Feminine"
AttackUpThunderstorm_Desc,"AttackUpThunderstorm_Desc"
ResistHot_Name_Plural,"ResistHot_Name_Plural"
AllSpeed_Name_Neuter,"AllSpeed_Name_Neuter"
HeartRepair_Name_Masculine,"HeartRepair_Name_Masculine"
LightEmission_Desc_02,"LightEmission_Desc_02"
LightEmission_Desc_03,"LightEmission_Desc_03"
ResistCold_Name,"ResistCold_Name"
ResistElectric_Name,"ResistElectric_Name"
AttackUpHot_Name,"AttackUpHot_Name"
ResistBurn_Name_Neuter,"ResistBurn_Name_Neuter"
ExStaminaMaxUp_Name_Neuter,"ExStaminaMaxUp_Name_Neuter"
QuietnessUp_Name,"QuietnessUp_Name"
ResistCold_Name_Masculine,"ResistCold_Name_Masculine"
AttackUpCold_Name_Plural,"AttackUpCold_Name_Plural"
ExStaminaMaxUp_Name_Feminine,"ExStaminaMaxUp_Name_Feminine"
LifeMaxUp_Name_Plural,"LifeMaxUp_Name_Plural"
LightEmission_MedicineDesc_02,"LightEmission_MedicineDesc_02"
ResistBurn_Name,"ResistBurn_Name"
LifeMaxUp_MedicineDesc,"LifeMaxUp_MedicineDesc"
LightEmission_MedicineDesc_03,"LightEmission_MedicineDesc_03"
AttackUpHot_Name_Neuter,"AttackUpHot_Name_Neuter"
LightEmission_Desc,"LightEmission_Desc"
ExStaminaMaxUp_Name,"ExStaminaMaxUp_Name"
ResistBurn_MedicineDesc_02,"ResistBurn_MedicineDesc_02"
ResistElectric_Name_Neuter,"ResistElectric_Name_Neuter"
AttackUp_Name_Masculine,"AttackUp_Name_Masculine"
QuietnessUp_Name_Plural,"QuietnessUp_Name_Plural"
ResistBurn_Name_Feminine,"ResistBurn_Name_Feminine"
NotSlippy_Name_Plural,"NotSlippy_Name_Plural"
ResistHot_MedicineDesc,"ResistHot_MedicineDesc"
AttackUp_Name_Neuter,"AttackUp_Name_Neuter"
DefenseUp_Name_Feminine,"DefenseUp_Name_Feminine"
QuietnessUp_Name_Masculine,"QuietnessUp_Name_Masculine"
AllSpeed_Name,"AllSpeed_Name"
DefenseUp_Name_Plural,"DefenseUp_Name_Plural"
HeartRepair_Desc,"HeartRepair_Desc"
NotSlippy_Name,"NotSlippy_Name"
ResistCold_Name_Feminine,"ResistCold_Name_Feminine"
DefenseUp_Desc,"DefenseUp_Desc"
HeartRepair_Name_Feminine,"HeartRepair_Name_Feminine"
StaminaRecover_Name_Neuter,"StaminaRecover_Name_Neuter"
ResistHot_Name_Masculine,"ResistHot_Name_Masculine"
NotSlippy_MedicineDesc,"NotSlippy_MedicineDesc"
ResistBurn_MedicineDesc,"ResistBurn_MedicineDesc"
ResistHot_Name_Feminine,"ResistHot_Name_Feminine"
QuietnessUp_Name_Feminine,"QuietnessUp_Name_Feminine"
ResistBurn_Name_Masculine,"ResistBurn_Name_Masculine"
MiasmaGuard_Name_Neuter,"MiasmaGuard_Name_Neuter"
ResistCold_MedicineDesc,"ResistCold_MedicineDesc"
LifeMaxUp_Name,"LifeMaxUp_Name"
AllSpeed_MedicineDesc_02,"AllSpeed_MedicineDesc_02"
AttackUpThunderstorm_Name_Feminine,"AttackUpThunderstorm_Name_Feminine"
LightEmission_Name_Neuter,"LightEmission_Name_Neuter"
AllSpeed_MedicineDesc_03,"AllSpeed_MedicineDesc_03"
ResistHot_Name,"ResistHot_Name"
