Label,String
MeetParkShido,"MeetParkShido"
InterimReportToShido,"InterimReportToShido"
GoToBeforeDungeon,"GoToBeforeDungeon"
GoToBossArea,"GoToBossArea"
TryOneTank,"TryOneTank"
Name,"Name"
GoToUnderLake,"GoToUnderLake"
GoToDungeonStart,"GoToDungeonStart"
ResearchZora,"ResearchZora"
InterimReportToShido_Ex,"InterimReportToShido_Ex"
TouchSecretStone,"TouchSecretStone"
ReportToParkShido,"ReportToParkShido"
GoToBeforeDungeon_00,"GoToBeforeDungeon_00"
Complete,"Complete"
FindWaterBridge,"FindWaterBridge"
GoToLakeShido,"GoToLakeShido"
SearchRemains,"SearchRemains"
DefeatBoss,"DefeatBoss"
DefeatLakeBoss,"DefeatLakeBoss"
