Label,String
DmT_GO_RockDestroy_Text_003_b,"DmT_GO_RockDestroy_Text_003_b"
DmT_GO_RockDestroy_Text_016_b,"DmT_GO_RockDestroy_Text_016_b"
DmT_GO_RockDestroy_Text_008_b,"DmT_GO_RockDestroy_Text_008_b"
DmT_GO_RockDestroy_Text_006_b,"DmT_GO_RockDestroy_Text_006_b"
DmT_GO_RockDestroy_Text_012_b,"DmT_GO_RockDestroy_Text_012_b"
DmT_GO_RockDestroy_Text_004_b,"DmT_GO_RockDestroy_Text_004_b"
DmT_GO_RockDestroy_Text_010_b,"DmT_GO_RockDestroy_Text_010_b"
DmT_GO_RockDestroy_Text_002_b,"DmT_GO_RockDestroy_Text_002_b"
DmT_GO_RockDestroy_Text_002_c,"DmT_GO_RockDestroy_Text_002_c"
DmT_GO_RockDestroy_Text_002_d,"DmT_GO_RockDestroy_Text_002_d"
DmT_GO_RockDestroy_Text_009_b,"DmT_GO_RockDestroy_Text_009_b"
DmT_GO_RockDestroy_Text_007_b,"DmT_GO_RockDestroy_Text_007_b"
DmT_GO_RockDestroy_Text_013_b,"DmT_GO_RockDestroy_Text_013_b"
DmT_GO_RockDestroy_Text_005_b,"DmT_GO_RockDestroy_Text_005_b"
DmT_GO_RockDestroy_Text_011_b,"DmT_GO_RockDestroy_Text_011_b"
