Label,String
DmT_RT_Awake_Text_017_c,"DmT_RT_Awake_Text_017_c"
DmT_RT_Awake_Text_025_bb,"DmT_RT_Awake_Text_025_bb"
DmT_RT_Awake_Text_032_c,"DmT_RT_Awake_Text_032_c"
DmT_RT_Awake_Text_022_b,"DmT_RT_Awake_Text_022_b"
DmT_RT_Awake_Text_020_b,"DmT_RT_Awake_Text_020_b"
DmT_RT_Awake_Text_029_b,"DmT_RT_Awake_Text_029_b"
DmT_RT_Awake_Text_018_b,"DmT_RT_Awake_Text_018_b"
DmT_RT_Awake_Text_027_b,"DmT_RT_Awake_Text_027_b"
DmT_RT_Awake_Text_033_b,"DmT_RT_Awake_Text_033_b"
DmT_RT_Awake_Text_021_b,"DmT_RT_Awake_Text_021_b"
DmT_RT_Awake_Text_032_bb,"DmT_RT_Awake_Text_032_bb"
DmT_RT_Awake_Text_019_b,"DmT_RT_Awake_Text_019_b"
DmT_RT_Awake_Text_028_b,"DmT_RT_Awake_Text_028_b"
DmT_RT_Awake_Text_026_b,"DmT_RT_Awake_Text_026_b"
