Label,String
Dm_OP_0011_Text_002_b,"Dm_OP_0011_Text_002_b"
Dm_OP_0011_Text_019_b,"Dm_OP_0011_Text_019_b"
Dm_OP_0011_Text_000_b,"Dm_OP_0011_Text_000_b"
Dm_OP_0011_Text_017_b,"Dm_OP_0011_Text_017_b"
Dm_OP_0011_Text_015_b,"Dm_OP_0011_Text_015_b"
Dm_OP_0011_Text_007_b,"Dm_OP_0011_Text_007_b"
Dm_OP_0011_Text_013_b,"Dm_OP_0011_Text_013_b"
Dm_OP_0011_Text_005_b,"Dm_OP_0011_Text_005_b"
Dm_OP_0011_Text_011_b,"Dm_OP_0011_Text_011_b"
Dm_OP_0011_Text_003_b,"Dm_OP_0011_Text_003_b"
Dm_OP_0011_Text_001_b,"Dm_OP_0011_Text_001_b"
Dm_OP_0011_Text_017_b_00,"Dm_OP_0011_Text_017_b_00"
Dm_OP_0011_Text_003_b_00,"Dm_OP_0011_Text_003_b_00"
Dm_OP_0011_Text_016_b,"Dm_OP_0011_Text_016_b"
Dm_OP_0011_Text_008_b,"Dm_OP_0011_Text_008_b"
Dm_OP_0011_Text_006_b,"Dm_OP_0011_Text_006_b"
Dm_OP_0011_Text_012_b,"Dm_OP_0011_Text_012_b"
Dm_OP_0011_Text_010_b,"Dm_OP_0011_Text_010_b"
