Label,String
Talk_0013,"Talk_0013"
Talk_0048,"Talk_0048"
Talk_0049,"Talk_0049"
0000,"0000"
Talk_0050,"Talk_0050"
0001,"0001"
Talk_0051,"Talk_0051"
0002,"0002"
Talk_0052,"Talk_0052"
Talk_0001,"Talk_0001"
Talk_0053,"Talk_0053"
Talk_0002,"Talk_0002"
Talk_0054,"Talk_0054"
Talk_0003,"Talk_0003"
Talk_0038,"Talk_0038"
Talk_0055,"Talk_0055"
Talk_0004,"Talk_0004"
Talk_0039,"Talk_0039"
Talk_0005,"Talk_0005"
Talk_0057,"Talk_0057"
Talk_0006,"Talk_0006"
Talk_0040,"Talk_0040"
Talk_0058,"Talk_0058"
Talk_0041,"Talk_0041"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
Talk_0042,"Talk_0042"
Talk_0009,"Talk_0009"
Talk_0043,"Talk_0043"
Talk_0010,"Talk_0010"
Talk_0045,"Talk_0045"
Talk_0011,"Talk_0011"
Talk_0012,"Talk_0012"
Talk_0047,"Talk_0047"
