Label,String
Talk_0621,"Talk_0621"
Talk_0206_02,"Talk_0206_02"
Talk_0601_01,"Talk_0601_01"
Talk_0622,"Talk_0622"
Talk_0310,"Talk_0310"
Talk_0623,"Talk_0623"
Talk_0311,"Talk_0311"
Talk_0500,"Talk_0500"
Talk_0501,"Talk_0501"
Talk_0502,"Talk_0502"
0000,"0000"
Talk_0316,"Talk_0316"
Talk_0503,"Talk_0503"
0001,"0001"
Talk_0317,"Talk_0317"
Talk_0504,"Talk_0504"
Talk_0210,"Talk_0210"
Talk_0318,"Talk_0318"
0002,"0002"
Talk_0007,"Talk_0007"
Talk_0010_01,"Talk_0010_01"
Talk_0211,"Talk_0211"
0003,"0003"
Talk_0008,"Talk_0008"
Talk_0025,"Talk_0025"
0004,"0004"
Talk_302,"Talk_302"
0005,"0005"
Talk_0009,"Talk_0009"
Talk_303,"Talk_303"
0006,"0006"
Talk_0211_00,"Talk_0211_00"
Talk_304,"Talk_304"
Talk_305,"Talk_305"
Talk_0503_01,"Talk_0503_01"
Talk_0010_00_01,"Talk_0010_00_01"
Talk_0202_00_01,"Talk_0202_00_01"
Talk_306,"Talk_306"
Talk_0420,"Talk_0420"
Talk_0010_00_02,"Talk_0010_00_02"
0009,"0009"
Talk_307,"Talk_307"
Talk_0300,"Talk_0300"
Near_0001,"Near_0001"
Talk_0301,"Talk_0301"
Near_0002,"Near_0002"
Talk_0006_01,"Talk_0006_01"
Near_0004,"Near_0004"
Talk_0304,"Talk_0304"
Talk_0010,"Talk_0010"
Talk_0006_02,"Talk_0006_02"
Near_0005,"Near_0005"
Talk_0305,"Talk_0305"
Near_0006,"Near_0006"
Talk_0210_01,"Talk_0210_01"
Talk_0306,"Talk_0306"
Talk_0012,"Talk_0012"
Talk_0013,"Talk_0013"
Talk_0308,"Talk_0308"
Talk_0700,"Talk_0700"
Talk_0309,"Talk_0309"
Talk_0202,"Talk_0202"
Talk_0012_01,"Talk_0012_01"
Talk1006,"Talk1006"
Talk_0203,"Talk_0203"
Talk_0017,"Talk_0017"
Talk1007,"Talk1007"
Talk_0204,"Talk_0204"
Talk1008,"Talk1008"
Talk_0205,"Talk_0205"
Talk_0206,"Talk_0206"
Talk_0410,"Talk_0410"
Talk_0207,"Talk_0207"
Talk_0208,"Talk_0208"
Talk_0209,"Talk_0209"
Talk_0601,"Talk_0601"
Talk_0602,"Talk_0602"
Talk_0206_01,"Talk_0206_01"
