Label,String
While_Talk_009,"While_Talk_009"
Balloon_While_005,"Balloon_While_005"
Balloon_While_006,"Balloon_While_006"
Balloon_While_007,"Balloon_While_007"
Ready_Talk_000,"Ready_Talk_000"
Ready_Talk_001,"Ready_Talk_001"
Ready_Talk_002,"Ready_Talk_002"
Ready_Talk_003,"Ready_Talk_003"
Ready_Talk_004,"Ready_Talk_004"
Ready_Talk_005,"Ready_Talk_005"
Ready_Talk_006,"Ready_Talk_006"
Ready_Talk_007,"Ready_Talk_007"
LinkWin_Talk_001,"LinkWin_Talk_001"
Ready_Talk_008,"Ready_Talk_008"
Ready_Talk_009,"Ready_Talk_009"
LinkWin_Talk_002,"LinkWin_Talk_002"
Leave_Talk_00,"Leave_Talk_00"
While_Talk_010,"While_Talk_010"
0000,"0000"
Leave_Talk_01,"Leave_Talk_01"
While_Talk_011,"While_Talk_011"
0001,"0001"
While_Talk_012,"While_Talk_012"
0002,"0002"
While_Talk_013,"While_Talk_013"
0003,"0003"
While_Talk_014,"While_Talk_014"
0004,"0004"
While_Talk_015,"While_Talk_015"
0005,"0005"
Foul_Talk_000,"Foul_Talk_000"
0006,"0006"
Foul_Talk_001,"Foul_Talk_001"
0007,"0007"
Foul_Talk_002,"Foul_Talk_002"
0008,"0008"
Foul_Talk_003,"Foul_Talk_003"
Object_00,"Object_00"
Object_01,"Object_01"
Ground_Talk_000,"Ground_Talk_000"
Balloon_000,"Balloon_000"
Ground_Talk_001,"Ground_Talk_001"
Ready_Talk_0080,"Ready_Talk_0080"
Ready_Talk_010,"Ready_Talk_010"
While_Talk_000,"While_Talk_000"
Ready_Talk_0081,"Ready_Talk_0081"
LinkLose_Talk_000,"LinkLose_Talk_000"
While_Talk_001,"While_Talk_001"
Ready_Talk_0082,"Ready_Talk_0082"
Ready_Talk_012,"Ready_Talk_012"
LinkLose_Talk_001,"LinkLose_Talk_001"
While_Talk_002,"While_Talk_002"
Ready_Talk_0083,"Ready_Talk_0083"
Ready_Talk_013,"Ready_Talk_013"
LinkLose_Talk_002,"LinkLose_Talk_002"
While_Talk_003,"While_Talk_003"
Ready_Talk_014,"Ready_Talk_014"
LinkLose_Talk_003,"LinkLose_Talk_003"
While_Talk_004,"While_Talk_004"
Balloon_While_000,"Balloon_While_000"
LinkLose_Talk_004,"LinkLose_Talk_004"
While_Talk_005,"While_Talk_005"
Balloon_While_001,"Balloon_While_001"
Ready_Talk_016,"Ready_Talk_016"
LinkLose_Talk_005,"LinkLose_Talk_005"
While_Talk_006,"While_Talk_006"
Balloon_While_002,"Balloon_While_002"
While_Talk_007,"While_Talk_007"
Balloon_While_003,"Balloon_While_003"
While_Talk_008,"While_Talk_008"
Balloon_While_004,"Balloon_While_004"
