Label,String
Talk63,"Talk63"
Talk29,"Talk29"
Talk46,"Talk46"
Talk64,"Talk64"
Talk48,"Talk48"
Talk65,"Talk65"
Talk49,"Talk49"
Talk66,"Talk66"
Talk67,"Talk67"
Talk68,"Talk68"
Talk69,"Talk69"
0001,"0001"
0002,"0002"
0003,"0003"
Talk10,"Talk10"
0004,"0004"
Talk11,"Talk11"
Talk12,"Talk12"
Talk30,"Talk30"
0006,"0006"
Talk13,"Talk13"
0007,"0007"
Talk31,"Talk31"
Talk14,"Talk14"
Talk32,"Talk32"
0008,"0008"
Talk15,"Talk15"
Talk50,"Talk50"
Talk33,"Talk33"
Talk16,"Talk16"
0009,"0009"
Talk17,"Talk17"
Talk18,"Talk18"
Talk52,"Talk52"
Talk19,"Talk19"
Talk36,"Talk36"
Talk53,"Talk53"
Talk70,"Talk70"
Talk37,"Talk37"
Talk54,"Talk54"
Near01,"Near01"
Talk55,"Talk55"
Talk38,"Talk38"
Talk73,"Talk73"
Talk56,"Talk56"
Near02,"Near02"
Talk74,"Talk74"
Talk57,"Talk57"
Talk58,"Talk58"
Talk59,"Talk59"
Talk77,"Talk77"
Talk78,"Talk78"
Talk79,"Talk79"
0010,"0010"
0011,"0011"
Talk02,"Talk02"
0012,"0012"
Talk03,"Talk03"
0013,"0013"
Talk20,"Talk20"
Talk04,"Talk04"
0014,"0014"
Talk21,"Talk21"
Talk05,"Talk05"
Talk22,"Talk22"
Talk06,"Talk06"
Talk23,"Talk23"
Talk07,"Talk07"
Talk24,"Talk24"
Talk41,"Talk41"
Talk25,"Talk25"
Talk42,"Talk42"
Talk26,"Talk26"
Talk43,"Talk43"
Talk60,"Talk60"
Talk27,"Talk27"
Talk61,"Talk61"
Talk44,"Talk44"
Talk62,"Talk62"
Talk45,"Talk45"
