Label,String
Talk1057,"Talk1057"
Talk1058,"Talk1058"
Talk1059,"Talk1059"
Talk1060,"Talk1060"
Talk1061,"Talk1061"
Talk1062,"Talk1062"
Talk1063,"Talk1063"
Talk1016,"Talk1016"
Talk1066,"Talk1066"
Talk1019,"Talk1019"
Talk1067,"Talk1067"
Talk1068,"Talk1068"
0010,"0010"
0012,"0012"
Talk1024,"Talk1024"
0013,"0013"
Talk1072,"Talk1072"
0014,"0014"
Talk3000,"Talk3000"
Talk1074,"Talk1074"
0015,"0015"
Talk1075,"Talk1075"
0016,"0016"
Talk3002,"Talk3002"
Talk1076,"Talk1076"
Talk3003,"Talk3003"
0017,"0017"
Talk1077,"Talk1077"
Talk3004,"Talk3004"
Talk1030,"Talk1030"
0018,"0018"
Talk3005,"Talk3005"
Talk1078,"Talk1078"
Talk1031,"Talk1031"
Talk3006,"Talk3006"
Talk1080,"Talk1080"
Talk1079,"Talk1079"
Talk3007,"Talk3007"
Talk1081,"Talk1081"
Talk1033,"Talk1033"
Talk1082,"Talk1082"
Talk3008,"Talk3008"
Talk1083,"Talk1083"
Talk1035,"Talk1035"
Talk1084,"Talk1084"
Talk1085,"Talk1085"
Talk1086,"Talk1086"
Talk1087,"Talk1087"
Talk1040,"Talk1040"
Talk1088,"Talk1088"
Talk1041,"Talk1041"
Talk1089,"Talk1089"
Talk1090,"Talk1090"
Talk1042,"Talk1042"
Talk1100,"Talk1100"
Talk1101,"Talk1101"
Talk1091,"Talk1091"
Talk1043,"Talk1043"
Near1001,"Near1001"
Talk1044,"Talk1044"
Talk1092,"Talk1092"
Talk1045,"Talk1045"
Talk1093,"Talk1093"
Talk1046,"Talk1046"
Talk1094,"Talk1094"
Talk1047,"Talk1047"
Talk1095,"Talk1095"
Talk1001,"Talk1001"
Talk1048,"Talk1048"
Talk1096,"Talk1096"
Talk1002,"Talk1002"
Talk1050,"Talk1050"
Talk1097,"Talk1097"
Talk1003,"Talk1003"
Talk1099,"Talk1099"
Talk1052,"Talk1052"
Talk1053,"Talk1053"
Talk1006,"Talk1006"
Talk1054,"Talk1054"
Talk1007,"Talk1007"
Talk1055,"Talk1055"
Talk1056,"Talk1056"
