Label,String
talk_1002,"talk_1002"
5507,"5507"
talk_1003,"talk_1003"
talk_1020,"talk_1020"
Com_Talk_06,"Com_Talk_06"
talk_1021,"talk_1021"
Com_Talk_07,"Com_Talk_07"
0000,"0000"
Com_Talk_08,"Com_Talk_08"
Com_Talk_11_b,"Com_Talk_11_b"
0001,"0001"
talk_1040,"talk_1040"
Com_Talk_09,"Com_Talk_09"
Com_Talk_11_c,"Com_Talk_11_c"
Com_Talk_11_d,"Com_Talk_11_d"
Com_Talk_10,"Com_Talk_10"
Com_Talk_11,"Com_Talk_11"
Com_Talk_12,"Com_Talk_12"
talk_1010,"talk_1010"
Com_Talk_30,"Com_Talk_30"
Com_Talk_31,"Com_Talk_31"
Com_Talk_32,"Com_Talk_32"
talk_1030,"talk_1030"
5500,"5500"
near_0000,"near_0000"
Com_Talk_34,"Com_Talk_34"
5501,"5501"
5502,"5502"
Com_Talk_36,"Com_Talk_36"
5503,"5503"
Com_Talk_37,"Com_Talk_37"
talk_1000,"talk_1000"
Com_Talk_20,"Com_Talk_20"
talk_1001,"talk_1001"
