Label,String
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_11_d,"Com_Talk_11_d"
5507,"5507"
Com_Talk_02d,"Com_Talk_02d"
5508,"5508"
Com_Talk_10,"Com_Talk_10"
Com_Talk_11,"Com_Talk_11"
SavedLv3_00,"SavedLv3_00"
Com_Talk_05b,"Com_Talk_05b"
Com_Talk_12,"Com_Talk_12"
SavedLv1_00,"SavedLv1_00"
SavedLv3_01,"SavedLv3_01"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_13,"Com_Talk_13"
SavedLv1_01,"SavedLv1_01"
ShopGreet_01_2,"ShopGreet_01_2"
Com_Talk_05d,"Com_Talk_05d"
Com_Talk_14,"Com_Talk_14"
Com_Talk_15,"Com_Talk_15"
0001,"0001"
Com_Talk_16,"Com_Talk_16"
0002,"0002"
Thanks00,"Thanks00"
0003,"0003"
Com_Talk_00,"Com_Talk_00"
Com_Talk_01,"Com_Talk_01"
Com_Talk_02,"Com_Talk_02"
Com_Talk_04,"Com_Talk_04"
Com_Talk_05,"Com_Talk_05"
ShopTalk_01,"ShopTalk_01"
Com_Talk_06,"Com_Talk_06"
Com_Talk_07,"Com_Talk_07"
Com_Talk_30,"Com_Talk_30"
Com_Talk_08,"Com_Talk_08"
Com_Talk_31,"Com_Talk_31"
Com_Talk_09,"Com_Talk_09"
Com_Talk_32,"Com_Talk_32"
SavedLv2_00,"SavedLv2_00"
Failed00,"Failed00"
Com_Talk_33,"Com_Talk_33"
SavedLv2_01,"SavedLv2_01"
Failed01,"Failed01"
Com_Talk_34,"Com_Talk_34"
Com_Talk_35,"Com_Talk_35"
5500,"5500"
Com_Talk_36,"Com_Talk_36"
5501,"5501"
EnokidaSignboard,"EnokidaSignboard"
Com_Talk_37,"Com_Talk_37"
5502,"5502"
Atacked00,"Atacked00"
Com_Talk_20,"Com_Talk_20"
5503,"5503"
Atacked01,"Atacked01"
Guardian00,"Guardian00"
ShopGoodBye_01,"ShopGoodBye_01"
ShopGreet_00,"ShopGreet_00"
Com_Talk_11_b,"Com_Talk_11_b"
ShopGreet_01,"ShopGreet_01"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_11_c,"Com_Talk_11_c"
