Label,String
NakedPlayer_00,"NakedPlayer_00"
Talk_43,"Talk_43"
NakedPlayer_01,"NakedPlayer_01"
Talk_15,"Talk_15"
NakedPlayer_02,"NakedPlayer_02"
Talk_16,"Talk_16"
Talk_45,"Talk_45"
near_00,"near_00"
Talk_46,"Talk_46"
near_01,"near_01"
Talk_47,"Talk_47"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_48,"Talk_48"
Talk_20,"Talk_20"
Talk_49,"Talk_49"
Talk_21,"Talk_21"
Talk_50,"Talk_50"
Talk_51,"Talk_51"
Talk_22,"Talk_22"
BlackZelda_01,"BlackZelda_01"
Talk_52,"Talk_52"
Talk_24,"Talk_24"
Talk_53,"Talk_53"
Talk_25,"Talk_25"
Talk_54,"Talk_54"
Talk_55,"Talk_55"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_00,"Talk_00"
Talk_29,"Talk_29"
Talk_01,"Talk_01"
Talk_30,"Talk_30"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
0004,"0004"
Talk_33,"Talk_33"
0005,"0005"
Talk_34,"Talk_34"
Talk_06,"Talk_06"
0006,"0006"
Talk_36,"Talk_36"
0007,"0007"
Talk_08,"Talk_08"
Talk_38,"Talk_38"
Talk_39,"Talk_39"
Talk_40,"Talk_40"
Talk_42,"Talk_42"
