Label,String
Talk_1004,"Talk_1004"
Talk_3001,"Talk_3001"
Talk_14,"Talk_14"
Talk_1005,"Talk_1005"
Talk_3002,"Talk_3002"
talk08,"talk08"
Talk_15,"Talk_15"
Talk_1006,"Talk_1006"
Talk_3003,"Talk_3003"
talk09,"talk09"
Talk_1007,"Talk_1007"
NakedPlayer,"NakedPlayer"
Talk_05,"Talk_05"
Near_2000,"Near_2000"
talk20,"talk20"
0002,"0002"
talk21,"talk21"
0003,"0003"
talk22,"talk22"
0004,"0004"
talk10,"talk10"
0005,"0005"
talk11,"talk11"
0006,"0006"
talk12,"talk12"
0007,"0007"
talk13,"talk13"
Talk_2002,"Talk_2002"
0008,"0008"
talk14,"talk14"
Talk_2003,"Talk_2003"
0009,"0009"
talk15,"talk15"
talk16,"talk16"
Talk_10,"Talk_10"
talk17,"talk17"
Talk_11,"Talk_11"
Near_1000,"Near_1000"
Talk_1002,"Talk_1002"
talk18,"talk18"
Talk_12,"Talk_12"
Talk_1003,"Talk_1003"
Talk_3000,"Talk_3000"
talk19,"talk19"
Talk_13,"Talk_13"
