Label,String
Talk_0013,"Talk_0013"
Talk_0014,"Talk_0014"
Talk_0015,"Talk_0015"
Talk_0016,"Talk_0016"
Near_0001,"Near_0001"
0000,"0000"
TerrorIce_02,"TerrorIce_02"
Near_0002,"Near_0002"
0001,"0001"
Near_0003,"Near_0003"
Talk_0018,"Talk_0018"
0002,"0002"
Talk_0019,"Talk_0019"
Near_0004,"Near_0004"
Talk_0002,"Talk_0002"
Talk_1001,"Talk_1001"
Talk_1002_01,"Talk_1002_01"
Talk_1002,"Talk_1002"
Talk_0004,"Talk_0004"
Talk_1003,"Talk_1003"
Talk_0021,"Talk_0021"
Talk_0005,"Talk_0005"
Talk_0022,"Talk_0022"
Talk_0023,"Talk_0023"
Talk_0006,"Talk_0006"
Talk_0024,"Talk_0024"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
Talk_0025,"Talk_0025"
Talk_0009,"Talk_0009"
Talk_0026,"Talk_0026"
Talk_0027,"Talk_0027"
Talk_0028,"Talk_0028"
Talk_0029,"Talk_0029"
Talk_0011,"Talk_0011"
Talk_0012,"Talk_0012"
