Label,String
Com_Welcome,"Com_Welcome"
Com_Photo_03,"Com_Photo_03"
Com_Photo_Thank,"Com_Photo_Thank"
9001,"9001"
Com_Photo_04,"Com_Photo_04"
BurnedWakka_01,"BurnedWakka_01"
9002,"9002"
Com_Photo_05,"Com_Photo_05"
9003,"9003"
Com_Photo_06,"Com_Photo_06"
Com_Photo_07,"Com_Photo_07"
WakkaCharm,"WakkaCharm"
Com_Photo_08,"Com_Photo_08"
Com_Photo_09,"Com_Photo_09"
9006,"9006"
9007,"9007"
Com_Photo_10,"Com_Photo_10"
Talk_0001,"Talk_0001"
Com_Photo_12,"Com_Photo_12"
Com_FirstTime_Only01,"Com_FirstTime_Only01"
Talk_0003,"Talk_0003"
Com_FirstTime_Only02,"Com_FirstTime_Only02"
Talk_0004,"Talk_0004"
Com_Photo_01,"Com_Photo_01"
Com_FirstTime_Only03,"Com_FirstTime_Only03"
Com_Photo_02,"Com_Photo_02"
