Label,String
Talk_06,"Talk_06"
Talk_11,"Talk_11"
SavedLv1_00,"SavedLv1_00"
TerrorEnemy_00,"TerrorEnemy_00"
Talk_12,"Talk_12"
SavedLv1_01,"SavedLv1_01"
SavedLv2_00,"SavedLv2_00"
TerrorEnemy_01,"TerrorEnemy_01"
Talk_13,"Talk_13"
SavedLv2_01,"SavedLv2_01"
SavedLv3_00,"SavedLv3_00"
TerrorEnemy_02,"TerrorEnemy_02"
TerrorAnimal,"TerrorAnimal"
Talk_14,"Talk_14"
SavedLv3_01,"SavedLv3_01"
ClearTerrorEnemy_00,"ClearTerrorEnemy_00"
Talk_16,"Talk_16"
ClearTerrorEnemy_01,"ClearTerrorEnemy_01"
Talk_14_01,"Talk_14_01"
Near_00,"Near_00"
ClearTerrorEnemy_02,"ClearTerrorEnemy_02"
ClearTerrorGuardian_00,"ClearTerrorGuardian_00"
Talk_00,"Talk_00"
Atacked00,"Atacked00"
Guardian00,"Guardian00"
ClearTerrorGuardian_01,"ClearTerrorGuardian_01"
Near_02,"Near_02"
Failed00,"Failed00"
Atacked01,"Atacked01"
ClearTerrorGuardian_02,"ClearTerrorGuardian_02"
EnokidaSignboard,"EnokidaSignboard"
Talk_02,"Talk_02"
Failed01,"Failed01"
NakedPlayer,"NakedPlayer"
Talk_06_01,"Talk_06_01"
Thanks00,"Thanks00"
